"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.179256000E-2,-1.693312973E-1,-3.346133232E-2,1.214685440E-1,2.110624462E-1
7.683052800E-2,-1.629262269E-1,-2.527499199E-2,1.078929901E-1,1.970397877E-1
8.186844500E-2,-1.483570784E-1,-4.392433167E-2,3.879928589E-2,1.595134923E-1
8.690636200E-2,-1.191333979E-1,-3.960394859E-2,-1.272678375E-2,1.261872033E-1
9.194433100E-2,-7.785910368E-2,-7.557988167E-2,-6.223201752E-2,1.250886987E-1
9.698224700E-2,-4.695236683E-2,-6.308627129E-2,-8.621215820E-2,1.166916389E-1
1.020202160E-1,1.440972090E-3,-5.436801910E-2,-5.999755859E-2,8.097941059E-2
1.070581330E-1,2.638536692E-2,-4.455685616E-2,-2.010917664E-2,5.555069759E-2
1.120961010E-1,4.752415419E-2,-4.479146004E-2,3.747463226E-2,7.529387881E-2
1.171340180E-1,7.418045402E-2,-1.838040352E-2,4.007053375E-2,8.629152141E-2
1.221719870E-1,5.198448896E-2,-2.762603760E-2,8.568763733E-2,1.039613209E-1
1.272099560E-1,4.464763403E-2,-2.299618721E-2,7.704448700E-2,9.196786845E-2
1.322478720E-1,1.508525014E-2,-3.910350800E-2,5.311965942E-2,6.766348592E-2
1.372857890E-1,-1.570850611E-3,1.163125038E-2,5.552864075E-2,5.675547110E-2
1.423237580E-1,-2.435532212E-2,4.196214676E-2,3.277301788E-2,5.854975813E-2
1.473617260E-1,-2.309957147E-2,2.781581879E-2,1.785755157E-2,4.032619651E-2
1.523996430E-1,-4.255962372E-2,4.211354256E-2,3.104972839E-2,6.744596112E-2
1.574376120E-1,3.114908934E-3,3.317236900E-2,6.920814514E-3,3.402949304E-2
1.624755280E-1,1.253193617E-2,3.408360481E-2,3.890419006E-2,5.321914642E-2
1.675134970E-1,4.462555051E-2,9.650707245E-3,1.443290710E-2,4.788407581E-2
1.725514140E-1,7.104811072E-2,-9.359359741E-3,4.730224609E-3,7.181787157E-2
1.775893830E-1,7.806903124E-2,-6.253433228E-2,1.852703094E-2,1.017279078E-1
1.826272990E-1,8.003070951E-2,-9.111142159E-2,3.659534454E-2,1.266705366E-1
1.876652680E-1,6.568026543E-2,-1.144568920E-1,4.955959320E-2,1.409625151E-1
1.927031850E-1,4.959526658E-2,-1.350102425E-1,-4.138946533E-4,1.438319413E-1
1.977411530E-1,3.874579072E-2,-1.434369087E-1,2.540588379E-2,1.507343425E-1
2.027790700E-1,2.120453119E-2,-1.422853470E-1,2.720642090E-2,1.464067671E-1
2.078169870E-1,-2.663284540E-3,-1.597082615E-1,-8.291244507E-3,1.599455114E-1
2.128549560E-1,-2.805534005E-2,-1.415898800E-1,5.981445312E-3,1.444665148E-1
2.178929240E-1,-6.649097800E-2,-1.354775429E-1,1.513576508E-2,1.516717052E-1
2.229308410E-1,-8.287656307E-2,-1.387939453E-1,3.566360474E-2,1.655420692E-1
2.279688100E-1,-9.187045693E-2,-1.513550282E-1,3.466701508E-2,1.804170927E-1
2.330067260E-1,-1.030448973E-1,-1.379492283E-1,3.836631775E-2,1.764092253E-1
2.380446950E-1,-7.657077909E-2,-9.701824188E-2,4.669380188E-2,1.321209090E-1
2.430826120E-1,-5.300039053E-2,-9.462857246E-2,3.150939941E-2,1.129444570E-1
2.481205810E-1,-4.405897856E-2,-8.556032181E-2,2.734184265E-3,9.627688208E-2
2.531584970E-1,-2.831390500E-2,-7.694005966E-2,1.210594177E-2,8.287342049E-2
2.581964660E-1,-1.213461161E-3,-5.232930183E-2,-4.427909851E-3,5.253032176E-2
2.632343830E-1,-5.190551281E-3,-2.367496490E-2,1.455116272E-2,2.826980938E-2
2.682723510E-1,9.590357542E-3,1.142144203E-2,2.140998840E-2,2.609237244E-2
2.733102680E-1,4.273188114E-2,5.765843391E-2,3.044033051E-2,7.795590028E-2
2.783482370E-1,5.171847343E-2,4.923725128E-2,4.158973694E-2,8.263663611E-2
2.833861530E-1,4.418015480E-2,4.829859734E-2,5.949497223E-2,8.845502984E-2
2.884241220E-1,3.673875332E-2,8.051085472E-2,6.761264801E-2,1.113696722E-1
2.934620390E-1,5.053043365E-2,4.186391830E-2,1.919937134E-2,6.837052172E-2
2.985000080E-1,3.587794304E-2,1.094603539E-2,-1.887702942E-2,4.199267468E-2
3.035379240E-1,5.214282870E-2,1.338028908E-2,-5.387592316E-2,7.616115688E-2
3.085758930E-1,4.944354296E-2,-4.792141914E-2,-6.938934326E-2,9.775483267E-2
3.136138100E-1,5.619394779E-2,-5.908036232E-2,-3.987884521E-2,9.076657576E-2
3.186517780E-1,5.571043491E-2,-7.029056549E-2,-2.729701996E-2,9.375256505E-2
3.236896950E-1,4.816541076E-2,-5.318093300E-2,3.909111023E-3,7.185679910E-2
3.287276640E-1,1.257357001E-2,-8.583283424E-2,2.753448486E-2,9.101383386E-2
3.337655810E-1,-3.876954317E-2,-9.428954124E-2,5.779361725E-2,1.171908583E-1
3.388035490E-1,-6.102642417E-2,-3.875017166E-2,9.925746918E-2,1.227918786E-1
3.438414660E-1,-6.872519851E-2,-1.900339127E-2,1.281719208E-1,1.466707983E-1
3.488794350E-1,-6.438302994E-2,3.391170502E-2,1.353034973E-1,1.536301229E-1
3.539173510E-1,-4.840227962E-2,4.412746429E-2,1.351337433E-1,1.501703777E-1
3.589553200E-1,-5.404564738E-2,6.661272049E-2,8.296394348E-2,1.193365093E-1
3.639932890E-1,-1.745072007E-2,5.396461487E-2,4.795742035E-2,7.427396216E-2
3.690312060E-1,1.911699772E-3,4.446864128E-2,8.602142334E-3,4.533333769E-2
3.740691740E-1,2.335399389E-2,-9.183645248E-3,-1.380634308E-2,2.864198806E-2
3.791070910E-1,2.068549395E-3,-1.939725876E-2,-5.718517303E-2,6.042082885E-2
3.841450600E-1,-2.121645212E-2,-1.097698212E-1,-7.397842407E-2,1.340610261E-1
3.891829760E-1,-6.064778566E-2,-1.849408150E-1,-7.875442505E-3,1.947903528E-1
3.942208930E-1,-6.878685951E-2,-3.161096573E-1,5.976581573E-2,3.289816107E-1
3.992588620E-1,-6.052982807E-2,-4.671626091E-1,1.643905640E-1,4.989278715E-1
4.042968310E-1,-5.316424370E-2,-7.015931606E-1,1.756410599E-1,7.251959609E-1
