"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.765626100E-2,-2.013776451E-1,-2.164435387E-1,1.136136055E-1,3.167156655E-1
8.269402100E-2,-1.088645607E-1,-1.102290154E-1,-9.285402298E-2,1.806205913E-1
8.773178100E-2,-5.230376124E-2,-2.382230759E-2,-1.554107666E-2,5.953747427E-2
9.276954200E-2,-2.841144800E-2,6.785774231E-2,2.072563171E-1,2.199251340E-1
9.780730200E-2,-1.441618055E-2,9.281492233E-2,2.536463737E-1,2.704790546E-1
1.028450110E-1,2.476382256E-2,1.361360550E-1,1.031103134E-1,1.725630584E-1
1.078827710E-1,-3.304108977E-3,1.524267197E-1,-6.559896469E-2,1.659760410E-1
1.129205310E-1,-4.780469835E-2,1.952986717E-1,-1.081132889E-2,2.013547744E-1
1.179582920E-1,-8.150778711E-2,2.546458244E-1,6.751680374E-2,2.757653605E-1
1.229960520E-1,-7.320724428E-2,2.575740814E-1,1.253604889E-2,2.680687609E-1
1.280338130E-1,-6.078377739E-2,2.341895103E-1,-8.292579651E-2,2.557656781E-1
1.330715730E-1,-9.682732821E-2,1.718707085E-1,-2.169084549E-2,1.984579671E-1
1.381093330E-1,-1.523940861E-1,1.152524948E-1,1.368784904E-1,2.350379037E-1
1.431470940E-1,-1.605299562E-1,1.325941086E-2,2.065553665E-1,2.619366302E-1
1.481848540E-1,-1.688483655E-1,-7.536792755E-2,1.571536064E-1,2.426671611E-1
1.532226150E-1,-1.403518766E-1,-7.803201675E-2,1.011519432E-1,1.897876722E-1
1.582603750E-1,-8.105057478E-2,-7.853794098E-2,5.229663849E-2,1.243878702E-1
1.632981360E-1,2.395956218E-2,-9.071493149E-2,5.611753464E-2,1.093272021E-1
1.683358960E-1,6.282559782E-2,-1.510992050E-1,-1.606321335E-2,1.644264344E-1
1.733736560E-1,1.074070409E-1,-2.167220116E-1,-6.228971481E-2,2.497693162E-1
1.784114170E-1,8.600146323E-2,-2.460794449E-1,-2.331590652E-2,2.617154492E-1
1.834491770E-1,7.238201797E-2,-2.636508942E-1,-8.248806000E-3,2.735306076E-1
1.884869380E-1,2.908175439E-2,-2.698893547E-1,4.633903503E-2,2.753785002E-1
1.935246980E-1,-1.739776880E-2,-2.465152740E-1,2.396583557E-3,2.471400540E-1
1.985624580E-1,-8.314658701E-2,-1.988573074E-1,-2.592658997E-2,2.170939237E-1
