"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.273724900E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
3.777480100E-2,-3.317877650E-3,-2.553057671E-2,-3.368759155E-2,4.239896796E-2
4.281235300E-2,1.582390442E-2,-3.679966927E-2,-7.852554321E-2,8.815255269E-2
4.784995700E-2,4.835556820E-2,-4.817390442E-2,-1.165561676E-1,1.350715597E-1
5.288750900E-2,5.463295430E-2,-6.248068810E-2,-1.030225754E-1,1.322960586E-1
5.792506100E-2,8.212172240E-2,-2.716100216E-2,-1.299457550E-1,1.561012382E-1
6.296266600E-2,1.061017066E-1,-3.877758980E-3,-1.300497055E-1,1.678854820E-1
6.800021800E-2,1.232033893E-1,1.014959812E-2,-9.934043884E-2,1.585894457E-1
7.303777000E-2,1.128495783E-1,7.597780228E-2,-6.936550140E-2,1.527063409E-1
7.807532200E-2,9.853474796E-2,1.059808731E-1,6.303787231E-3,1.448474361E-1
8.311292600E-2,6.895986199E-2,9.932065010E-2,9.260749817E-2,1.523029968E-1
8.815047800E-2,9.170025587E-3,1.135039330E-1,1.681661606E-1,2.030937954E-1
9.318803000E-2,-3.746122122E-2,1.181509495E-1,2.259168625E-1,2.576847274E-1
9.822558200E-2,-8.125519753E-2,1.451048851E-1,1.964759827E-1,2.574114344E-1
1.032631860E-1,-1.159886122E-1,1.350655556E-1,1.745157242E-1,2.493026282E-1
1.083007380E-1,-1.445360631E-1,1.329355240E-1,5.820751190E-2,2.048185575E-1
1.133382910E-1,-1.245189831E-1,1.313965321E-1,3.057479858E-3,1.810507497E-1
1.183758950E-1,-7.430103421E-2,1.100769043E-1,-6.485176086E-2,1.477948559E-1
1.234134470E-1,-3.821861371E-2,1.083939075E-1,-1.089801788E-1,1.583874395E-1
1.284509990E-1,3.465387225E-2,7.972168922E-2,-7.613086700E-2,1.155523583E-1
1.334886030E-1,8.128723502E-2,5.261731148E-2,-6.099987030E-2,1.144429125E-1
1.385261550E-1,1.190084964E-1,6.157875061E-3,-4.894924164E-2,1.288292277E-1
1.435637070E-1,1.369668990E-1,-2.695751190E-2,-1.230144501E-2,1.401355217E-1
1.486013110E-1,1.200876236E-1,-6.338787079E-2,-2.078533173E-2,1.373720842E-1
1.536388630E-1,9.037747979E-2,-8.697998524E-2,3.308582306E-2,1.297238543E-1
1.586764160E-1,5.508209765E-2,-7.522010803E-2,4.579162598E-2,1.038699915E-1
1.637140200E-1,2.348578721E-2,-4.309153557E-2,4.883861542E-2,6.923635602E-2
1.687515720E-1,2.767376602E-2,-9.581089020E-3,5.178165436E-2,5.948927904E-2
1.737891240E-1,-9.846583009E-3,9.175300598E-3,5.462837219E-2,5.626189107E-2
1.788266760E-1,-1.130554825E-2,6.226038933E-2,4.165649414E-3,6.341548814E-2
