"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.581703300E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
4.085489700E-2,2.534793317E-2,1.562070847E-2,-3.601074219E-3,2.999153188E-2
4.589276200E-2,5.232379586E-2,5.567789078E-3,5.587577820E-3,5.291503486E-2
5.093057500E-2,8.077680320E-2,2.993345261E-4,2.441406250E-3,8.081424379E-2
5.596849100E-2,8.974780142E-2,-1.370704174E-2,3.460025787E-2,9.715826624E-2
6.100630400E-2,1.149251014E-1,-3.400290012E-2,2.893638611E-2,1.232935140E-1
6.604416800E-2,8.238671720E-2,-2.979683876E-2,3.311538696E-2,9.365923139E-2
7.108203300E-2,7.020974159E-2,-2.448773384E-2,3.324699402E-2,8.145194617E-2
7.611989700E-2,7.750767469E-2,-1.789760590E-2,1.684379578E-2,8.131099181E-2
8.115776200E-2,8.513854444E-2,-9.846210480E-3,-2.051353455E-3,8.573055267E-2
8.619562700E-2,8.418507874E-2,-8.963346481E-3,4.661560059E-3,8.478914556E-2
9.123349100E-2,4.663217068E-2,-1.247859001E-2,3.277683258E-2,5.834891006E-2
9.627135600E-2,9.956493974E-3,-5.553185940E-2,3.906345367E-2,6.862122553E-2
1.013092200E-1,-1.509653032E-2,-5.368387699E-2,2.907752991E-3,5.584190992E-2
1.063470850E-1,-3.632226586E-2,-5.237686634E-2,1.835918427E-2,6.633025533E-2
1.113849500E-1,-9.008365124E-2,-9.647703171E-2,3.071594238E-2,1.355225110E-1
1.164228140E-1,-1.206921190E-1,-1.295530796E-1,2.447128296E-2,1.787440397E-1
1.214606790E-1,-1.589296609E-1,-1.093866825E-1,-2.201938629E-2,1.941878905E-1
1.264985430E-1,-1.682396531E-1,-6.570851803E-2,-3.437519073E-2,1.838582170E-1
1.315364080E-1,-1.638224870E-1,-5.613076687E-2,8.358955383E-3,1.733734189E-1
1.365742720E-1,-1.439068913E-1,-1.438498497E-3,-3.302574158E-2,1.476548755E-1
1.416121370E-1,-1.205258369E-1,2.345454693E-2,-8.635520935E-3,1.230900701E-1
1.466500020E-1,-7.999156415E-2,6.354260445E-2,5.483627319E-3,1.023053424E-1
1.516878660E-1,-4.814629257E-2,9.075427055E-2,3.047275543E-2,1.071587231E-1
1.567257310E-1,-3.372696042E-2,1.126400232E-1,2.920055389E-2,1.211526105E-1
1.617632310E-1,7.267445326E-4,1.179811954E-1,5.791473389E-2,1.314313777E-1
1.668014080E-1,5.237439275E-2,1.258085966E-1,5.334186554E-2,1.463428666E-1
1.718392720E-1,8.828890324E-2,1.013833284E-1,5.821228027E-2,1.464997587E-1
1.768771370E-1,1.160197258E-1,1.264755726E-1,2.600383759E-2,1.735881528E-1
1.819150020E-1,1.405404061E-1,1.206543446E-1,2.038288116E-2,1.863452131E-1
1.869528660E-1,1.388215423E-1,1.196478605E-1,3.584289551E-2,1.867397769E-1
1.919907310E-1,1.116740555E-1,1.441103220E-1,1.146221161E-2,1.826752908E-1
1.970285950E-1,9.934455156E-2,1.283054352E-1,-7.492065430E-3,1.624430844E-1
2.020664600E-1,6.887978315E-2,1.175601482E-1,-1.192378998E-2,1.367734980E-1
2.071043250E-1,7.187122107E-2,8.618009090E-2,-2.267837524E-3,1.122391357E-1
2.121421890E-1,6.327278912E-2,6.959640980E-2,-4.407215118E-2,1.038723284E-1
2.171800540E-1,6.195339561E-2,8.368611336E-2,-6.146621704E-2,1.209118879E-1
2.222179180E-1,6.532756984E-2,6.227314472E-2,-6.908607483E-2,1.136596748E-1
2.272557830E-1,4.060471058E-2,5.285871029E-2,-6.251621246E-2,9.138414849E-2
2.322936470E-1,5.618415773E-2,2.481126785E-2,-3.744220734E-2,7.193175573E-2
2.373315120E-1,3.407616913E-2,2.534699440E-2,-5.970001221E-3,4.288701834E-2
2.423693770E-1,1.250489056E-2,-2.161979675E-3,-3.294944763E-3,1.311118244E-2
2.474072410E-1,5.472853780E-3,-7.960796356E-3,3.672599792E-2,3.797532529E-2
2.524451060E-1,-3.619685769E-3,-2.287769318E-2,3.304481506E-3,2.339680679E-2
2.574829700E-1,-3.095030785E-3,-1.161122322E-2,1.976966858E-2,2.313524402E-2
2.625208350E-1,3.014245629E-2,-2.156031132E-2,1.478767395E-2,3.990100245E-2
2.675587000E-1,2.285833657E-2,-5.239987373E-2,1.694965363E-2,5.962835798E-2
2.725965640E-1,1.804675162E-2,-1.461172104E-2,2.141475677E-2,3.158764701E-2
2.776344290E-1,1.807548106E-2,-1.984632015E-2,7.040023804E-3,2.775178146E-2
2.826722930E-1,2.981795371E-2,-8.502960205E-3,2.344799042E-2,3.887439967E-2
2.877101060E-1,2.957716584E-2,2.617359161E-2,-3.719329834E-4,3.949688559E-2
2.927480220E-1,6.457790732E-2,4.146981239E-2,-4.252910614E-2,8.774267105E-2
2.977858350E-1,8.247472346E-2,5.188846588E-2,-1.345539093E-2,9.836432507E-2
3.028237000E-1,7.882863283E-2,5.755388737E-2,2.445793152E-2,1.006210401E-1
3.078615640E-1,7.988893986E-2,8.917081356E-2,7.341289520E-2,1.404390611E-1
3.128994290E-1,7.146805525E-2,4.536306858E-2,9.794807434E-2,1.294577776E-1
