"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.171033100E-2,1.955050677E-1,1.821498871E-1,-4.188442230E-2,2.704720276E-1
7.674798700E-2,2.064634562E-1,1.789076328E-1,-4.149055481E-2,2.763269186E-1
8.178564300E-2,1.888625920E-1,1.178907156E-1,-1.580238342E-2,2.231972554E-1
8.682329900E-2,1.769483387E-1,1.115971804E-1,-2.310276031E-2,2.104718100E-1
9.186095600E-2,1.410655975E-1,7.386267185E-2,-5.849838257E-3,1.593405714E-1
9.689861200E-2,1.287058890E-1,6.816256046E-2,-3.200531006E-3,1.456762984E-1
1.019362160E-1,1.135064811E-1,4.982376099E-2,-2.296733856E-2,1.260699292E-1
1.069738720E-1,7.090474665E-2,4.625558853E-2,-2.140235901E-2,8.732195336E-2
1.120115290E-1,3.808255494E-2,4.525160789E-2,-1.776504517E-2,6.175423740E-2
1.170491850E-1,-3.819718957E-3,4.220342636E-2,-9.902000427E-3,4.351745698E-2
1.220868410E-1,-2.304601669E-2,4.399561882E-2,2.236080170E-2,5.446777775E-2
1.271244970E-1,-6.864924729E-2,4.812812805E-2,5.752658844E-2,1.016776487E-1
1.321621020E-1,-7.578913867E-2,6.131601334E-2,7.971858978E-2,1.259313328E-1
1.371997580E-1,-7.816229761E-2,6.727755070E-2,8.051204681E-2,1.308350231E-1
1.422374140E-1,-8.518716693E-2,4.804456234E-2,7.458591461E-2,1.229967156E-1
1.472750700E-1,-8.983299136E-2,9.624731541E-2,7.592391968E-2,1.519801094E-1
1.523127270E-1,-6.469218433E-2,1.060632467E-1,9.338188171E-2,1.554177173E-1
1.573503830E-1,-4.087099433E-2,9.508287907E-2,8.270740509E-2,1.324828552E-1
1.623880390E-1,-1.813094318E-2,7.780933380E-2,6.106185913E-2,1.005563234E-1
1.674256950E-1,-4.480245709E-2,6.821691990E-2,4.491806030E-2,9.315814760E-2
1.724632990E-1,-3.382562101E-2,7.505834103E-2,2.483367920E-2,8.599208578E-2
1.775009560E-1,-2.340486646E-2,3.990173340E-2,-2.914619446E-2,5.467574191E-2
1.825386120E-1,-1.811070740E-2,1.027107239E-3,-5.815124512E-2,6.091485845E-2
1.875762680E-1,-1.071557403E-2,-4.382467270E-2,-9.781074524E-2,1.077142857E-1
1.926139240E-1,8.124664426E-3,-1.705408096E-3,-1.015043259E-1,1.018432460E-1
1.976515810E-1,7.775604725E-3,-5.618548393E-2,-9.122657776E-2,1.074223307E-1
2.026892370E-1,5.188554525E-3,-3.254616261E-2,-6.272315979E-2,7.085455929E-2
2.077268930E-1,-1.971676946E-3,-4.219865799E-2,-3.043079376E-2,5.206387860E-2
2.127645490E-1,5.002126098E-3,-3.529524803E-2,-1.768684387E-2,3.979447506E-2
2.178022060E-1,7.133528590E-3,-3.303694725E-2,2.027511597E-2,3.941329016E-2
2.228398100E-1,-1.162886620E-4,-4.692018032E-2,8.247375488E-3,4.763964785E-2
2.278774660E-1,1.618775725E-2,-5.089116096E-2,2.447128296E-2,5.874348848E-2
2.329151220E-1,3.691369295E-2,-5.934965611E-2,1.693534851E-2,7.191528653E-2
2.379527790E-1,5.718633533E-2,-6.527435780E-2,2.827358246E-2,9.127110276E-2
2.429904350E-1,8.163310587E-2,-8.041691780E-2,1.960754395E-3,1.146066717E-1
2.480280910E-1,9.839825332E-2,-7.899904251E-2,1.837730408E-2,1.275178038E-1
2.530657470E-1,9.845317900E-2,-8.253943920E-2,1.107788086E-2,1.289515681E-1
2.581034040E-1,1.220138073E-1,-9.101641178E-2,-5.358695984E-3,1.523156985E-1
2.631410080E-1,1.451755911E-1,-1.020159721E-1,1.609802246E-2,1.781638492E-1
2.681786640E-1,1.140215546E-1,-1.200642586E-1,3.246116638E-2,1.687307572E-1
2.732163200E-1,1.232823282E-1,-1.051487923E-1,6.025791168E-2,1.728751483E-1
2.782539770E-1,9.238874912E-2,-1.024277210E-1,5.001735687E-2,1.467271447E-1
2.832916330E-1,5.273863673E-2,-8.332538605E-2,4.937648773E-2,1.102838216E-1
2.883292890E-1,2.221286297E-3,-7.856988907E-2,8.834838867E-3,7.909624491E-2
2.933669450E-1,-1.196883619E-2,-7.129979134E-2,-2.628803253E-2,7.692836888E-2
2.984046020E-1,-5.388468504E-2,-5.456793308E-2,-1.148414612E-2,7.754420813E-2
3.034422580E-1,-7.846707106E-2,-5.911111832E-2,-3.459835052E-2,1.041549394E-1
3.084798620E-1,-1.072775424E-1,-9.865009785E-2,-1.738643646E-2,1.467739795E-1
3.135175180E-1,-1.050063819E-1,-9.031510353E-2,1.826286316E-3,1.385153186E-1
3.185551740E-1,-1.097826958E-1,-7.498514652E-2,6.565093994E-3,1.331094022E-1
3.235928310E-1,-9.088300169E-2,-6.215178967E-2,3.942584991E-2,1.169485468E-1
3.286304870E-1,-7.701966166E-2,-5.882465839E-2,4.111576080E-2,1.052752322E-1
3.336681430E-1,-6.816400588E-2,-5.318796635E-2,6.397247314E-2,1.075535624E-1
3.387057990E-1,-3.827787936E-2,-6.888437271E-2,4.880142212E-2,9.269213372E-2
3.437434560E-1,-3.482261300E-2,-4.430580139E-2,6.686782837E-2,8.744669739E-2
3.487811120E-1,-3.620684147E-2,-2.949750423E-2,4.224395752E-2,6.297293127E-2
3.538187680E-1,-1.622188091E-2,1.815021038E-2,2.742099762E-2,3.666729698E-2
3.588563720E-1,-1.058657467E-2,5.336868763E-2,5.742073059E-3,5.471072825E-2
3.638940290E-1,1.155309379E-2,8.107984066E-2,-1.091098785E-2,8.262241944E-2
3.689316850E-1,2.393150330E-2,1.108422279E-1,-2.497768402E-2,1.161146031E-1
3.739693410E-1,5.737440288E-2,1.355919838E-1,-3.483772278E-3,1.472723492E-1
3.790069970E-1,9.493950009E-2,1.530572176E-1,1.059627533E-2,1.804225640E-1
3.840446540E-1,1.296202838E-1,1.303390265E-1,3.207206726E-3,1.838476706E-1
3.890823100E-1,1.543373913E-1,1.032525301E-1,2.424716949E-2,1.872672970E-1
3.941199660E-1,1.432104707E-1,5.290162563E-2,5.209445953E-2,1.613122860E-1
3.991576220E-1,1.345073283E-1,1.016294956E-2,3.238201141E-2,1.387231111E-1
4.041952790E-1,1.069363654E-1,-1.808834076E-2,1.536083221E-2,1.095377993E-1
4.092329350E-1,7.247364521E-2,-1.005309820E-1,1.988029480E-2,1.255154720E-1
4.142705390E-1,5.970646441E-2,-1.231362820E-1,-2.048397064E-2,1.383726811E-1
4.193081950E-1,6.373907626E-2,-1.552450657E-1,-7.443904877E-2,1.835888674E-1
4.243458520E-1,6.312772632E-2,-1.612666845E-1,-1.111145020E-1,2.057631792E-1
4.293835080E-1,8.158577979E-2,-1.485931873E-1,-1.189260483E-1,2.070738509E-1
4.344211640E-1,6.916834414E-2,-1.291569471E-1,-1.077175140E-1,1.818483974E-1
4.394588200E-1,5.215144157E-2,-1.288994551E-1,-6.592369080E-2,1.538855919E-1
4.444964770E-1,5.429324508E-2,-6.709218025E-2,-6.250667572E-2,1.065654804E-1
4.495341330E-1,7.302726805E-2,-4.137432575E-2,-4.970836639E-2,9.754864633E-2
4.545717890E-1,5.612932146E-2,1.262247562E-2,-1.818943024E-2,6.033807248E-2
4.596094450E-1,4.896624386E-2,3.070080280E-2,1.084327698E-3,5.780491413E-2
4.646470490E-1,2.301555872E-2,4.404568672E-2,2.718925476E-2,5.664798352E-2
4.696847580E-1,1.387390494E-2,4.552733898E-2,5.060863495E-2,6.947271237E-2
4.747223620E-1,2.124191821E-2,6.833124161E-2,6.429767609E-2,9.620066953E-2
4.797600180E-1,4.265654087E-2,4.819214344E-2,3.761863708E-2,7.454679755E-2
4.847976740E-1,1.650580764E-2,4.237222672E-2,3.967380524E-2,6.034780944E-2
4.898353310E-1,2.617843449E-2,4.115343094E-2,2.517890930E-2,5.488982405E-2
4.948729870E-1,4.755413532E-2,4.211688042E-2,3.693580627E-2,7.348116213E-2
4.999106430E-1,4.489281774E-2,3.339743614E-2,2.493286133E-2,6.125684777E-2
5.049482990E-1,5.158703029E-2,2.933752537E-2,1.546764374E-2,6.132829764E-2
5.099859560E-1,5.575275421E-2,1.570510864E-2,8.504867554E-3,5.854359753E-2
5.150236120E-1,2.906987071E-2,3.529846668E-2,-3.627300262E-2,5.836754109E-2
5.200612680E-1,2.881036699E-2,3.342807293E-2,-4.743385315E-2,6.478768193E-2
5.250989240E-1,1.449687779E-2,2.461624146E-2,-3.245353699E-2,4.323599047E-2
5.301365290E-1,1.454389095E-2,1.908779144E-3,-1.293659210E-2,1.955821099E-2
5.351741850E-1,-4.251182079E-3,8.101463318E-3,-7.885932922E-3,1.207866694E-2
5.402118410E-1,-6.283804774E-3,-6.840705872E-3,1.839256287E-2,2.060504375E-2
5.452494970E-1,-5.848467350E-3,-2.857828140E-2,-1.014614105E-2,3.088473598E-2
5.502871540E-1,1.789748669E-3,-5.002331734E-2,3.032684326E-2,5.852566018E-2
5.553248100E-1,9.449854493E-3,-3.792917728E-2,3.992080688E-3,3.929197052E-2
5.603624660E-1,-1.842427254E-2,-9.220838547E-2,6.324195862E-2,1.133198372E-1
5.654001220E-1,-4.365834594E-2,-9.372627735E-2,6.263446808E-2,1.208873146E-1
5.704377790E-1,-6.390978396E-2,-7.620978355E-2,6.202602386E-2,1.172161219E-1
5.754754350E-1,-7.449654490E-2,-6.592142582E-2,4.007053375E-2,1.072427958E-1
5.805130910E-1,-8.014329523E-2,-4.852759838E-2,2.541637421E-2,9.707660713E-2
5.855507470E-1,-6.192319095E-2,-3.369557858E-2,2.038955688E-2,7.338669922E-2
5.905884040E-1,-3.663861752E-2,-2.142810822E-2,1.541996002E-2,4.515891144E-2
5.956260600E-1,-2.577877045E-2,-2.831029892E-2,3.897953033E-2,5.463901368E-2
6.006636640E-1,3.860026598E-3,-2.104127407E-2,4.812812805E-2,5.266831808E-2
6.057013200E-1,3.551712632E-2,-1.398074627E-2,6.435108185E-2,7.481971173E-2
6.107389770E-1,7.392753661E-2,2.364277840E-3,4.249763489E-2,8.530486182E-2
6.157766330E-1,8.581528068E-2,6.674885750E-3,2.321815491E-2,8.915099110E-2
6.208142890E-1,1.354443431E-1,-2.940034866E-2,-1.963043213E-2,1.399818004E-1
6.258519450E-1,1.585020423E-1,-6.502056122E-2,-3.366184235E-2,1.745957915E-1
6.308896020E-1,1.765391529E-1,-1.023623943E-1,-6.901550293E-2,2.154234711E-1
6.359272580E-1,2.230483890E-1,-1.720141172E-1,-1.160821915E-1,3.046547481E-1
6.409649140E-1,1.864958107E-1,-2.900578976E-1,-9.884643555E-2,3.587267612E-1
6.460025700E-1,9.389172494E-2,-4.204276800E-1,-9.857749939E-2,4.419192387E-1
6.510402270E-1,3.459425271E-2,-5.096424818E-1,2.858867645E-1,5.853746353E-1
6.560778830E-1,3.793987632E-2,-5.953814983E-1,8.660602570E-1,1.051655329E0
6.611155390E-1,-1.655962616E-1,-7.738485336E-1,4.843254089E-1,9.278118218E-1
6.661531950E-1,-3.727993071E-1,-1.107425451E0,-1.534938812E-2,1.168591484E0
6.711908520E-1,-4.378435612E-1,-1.464838028E0,-2.543878555E-1,1.549893743E0
6.762285080E-1,-6.005771160E-1,-1.850995660E0,-2.799730301E-1,1.966027137E0
6.812661120E-1,-5.503565669E-1,-1.991090059E0,5.207834244E-1,2.130386667E0
6.863037680E-1,-9.351951629E-2,-1.936354756E0,9.775667191E-1,2.171140791E0
6.913414240E-1,-5.026966333E-2,-1.926086307E0,6.041860580E-1,2.019251419E0
6.963790810E-1,-2.003605664E-2,-1.877319932E0,2.963352203E-2,1.877660703E0
7.014167370E-1,-3.519684076E-3,-1.876291275E0,-3.692436218E-1,1.912281932E0
7.064543930E-1,-1.080419123E-2,-1.892065644E0,-4.751272202E-1,1.950839565E0
7.114920490E-1,-2.955760062E-2,-1.879601121E0,-3.853530884E-1,1.918924446E0
7.165297060E-1,-3.315731138E-2,-1.820435166E0,-2.272987366E-1,1.834870109E0
7.215673620E-1,-4.143897444E-2,-1.826717377E0,-2.151737213E-1,1.839813385E0
7.266050180E-1,-4.381117225E-2,-1.812581420E0,-3.335132599E-1,1.843529744E0
7.316426740E-1,-3.125592321E-2,-1.787871480E0,-5.432500839E-1,1.868845102E0
7.366803310E-1,-1.446270943E-2,-1.754991889E0,-6.845941544E-1,1.883845762E0
7.417179870E-1,-3.189906478E-3,-1.751817703E0,-5.848302841E-1,1.846862719E0
7.467556430E-1,1.779858768E-2,-1.718608141E0,-3.175859451E-1,1.747796202E0
7.517932990E-1,-1.027138531E-2,-1.676764250E0,4.060649872E-2,1.677287315E0
7.568309560E-1,-2.092397213E-2,-1.652258158E0,2.751474380E-1,1.675142067E0
7.618686120E-1,-2.550966293E-2,-1.651774526E0,3.226547241E-1,1.683186234E0
