"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.063203400E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
3.566948100E-2,-2.374086902E-2,-2.769947052E-3,1.305580139E-3,2.393754390E-2
4.070698100E-2,-5.055566132E-2,2.671217918E-2,7.302284241E-3,5.764320223E-2
4.574442900E-2,-5.540019646E-2,1.307892799E-2,7.202148438E-3,5.737692104E-2
5.078187700E-2,-4.753605276E-2,9.332656860E-3,-3.086280823E-2,5.743942660E-2
5.581937700E-2,-3.283000737E-2,-2.466011047E-2,-6.007575989E-2,7.276693864E-2
6.085682500E-2,-2.295703068E-2,-1.295661926E-2,-1.074991226E-1,1.106840576E-1
6.589432500E-2,3.565507382E-2,-1.310348511E-2,-1.618156433E-1,1.662145843E-1
7.093177300E-2,7.752268761E-2,9.882926941E-3,-1.573076248E-1,1.756505854E-1
7.596922100E-2,9.420752525E-2,-2.049922943E-3,-1.421661377E-1,1.705592879E-1
8.100672100E-2,8.379951119E-2,6.062269211E-3,-1.122455597E-1,1.402076134E-1
8.604416900E-2,4.187047482E-2,2.075672150E-3,-1.448593140E-1,1.508034015E-1
9.108161700E-2,-5.835348740E-2,-5.262517929E-2,-1.272983551E-1,1.495974940E-1
9.611911700E-2,-1.872132272E-1,-1.058995724E-1,-1.117658615E-1,2.423945537E-1
1.011565650E-1,-2.749412358E-1,-2.161781788E-1,-4.430675507E-2,3.525461341E-1
1.061940650E-1,-3.316981494E-1,-2.774887085E-1,6.575870514E-2,4.374332555E-1
1.112315130E-1,-3.416060209E-1,-2.840855122E-1,1.492233276E-1,4.686863058E-1
1.162689610E-1,-2.978690863E-1,-2.887744904E-1,1.945791245E-1,4.582332752E-1
1.213064610E-1,-2.094945014E-1,-2.643790245E-1,2.562303543E-1,4.236014745E-1
1.263439090E-1,-1.029073149E-1,-2.439854145E-1,2.381267548E-1,3.561223796E-1
1.313814090E-1,-8.011095226E-3,-2.411248684E-1,2.009677887E-1,3.139959106E-1
1.364188560E-1,9.419363737E-2,-2.206759453E-1,1.568231583E-1,2.866423156E-1
1.414563040E-1,1.874141097E-1,-2.062542439E-1,1.035051346E-1,2.972846691E-1
1.464938040E-1,2.653623223E-1,-1.379191875E-1,5.035495758E-2,3.032729565E-1
1.515312520E-1,3.567173481E-1,-1.210701466E-1,-4.188251495E-2,3.790242629E-1
1.565687520E-1,4.039422572E-1,-6.626582146E-2,-1.282415390E-1,4.289596701E-1
1.616062000E-1,4.318078458E-1,1.376223564E-2,-1.653985977E-1,4.626057836E-1
1.666437000E-1,4.247291982E-1,6.059575081E-2,-1.575002670E-1,4.570263351E-1
1.716811480E-1,3.951268494E-1,1.124546528E-1,-1.268596649E-1,4.299588941E-1
1.767185960E-1,2.787256837E-1,1.183490753E-1,-1.181097031E-1,3.250298638E-1
1.817560960E-1,2.031729221E-1,1.375782490E-1,-1.258506775E-1,2.757633114E-1
1.867935440E-1,7.216941565E-2,1.397774220E-1,-9.859943390E-2,1.856555968E-1
1.918309920E-1,-3.610695899E-2,7.919836044E-2,-6.061744690E-2,1.060686931E-1
1.968684920E-1,-1.667568684E-1,4.141664505E-2,3.660011292E-2,1.756780006E-1
2.019059400E-1,-2.961550653E-1,-6.708145142E-3,8.916378021E-2,3.093590173E-1
2.069434400E-1,-3.640764952E-1,-4.160928726E-2,1.519060135E-1,3.966843381E-1
2.119808880E-1,-3.558847606E-1,-4.017710686E-2,2.082786560E-1,4.143044307E-1
2.170183360E-1,-2.944065630E-1,-2.439904213E-2,2.142477036E-1,3.649282342E-1
2.220558360E-1,-2.368456721E-1,-4.590964317E-2,1.547727585E-1,2.866324729E-1
2.270932840E-1,-1.712411940E-1,-6.209921837E-2,8.984470367E-2,2.031057119E-1
