"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.468682900E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
3.972485000E-2,-1.862260699E-2,8.358955383E-4,-1.189804077E-2,2.211478209E-2
4.476287100E-2,-2.787202597E-2,4.656434059E-2,9.676933289E-3,5.512468307E-2
4.980089200E-2,-2.663910389E-3,5.272746086E-2,-1.785182953E-2,5.573122433E-2
5.483886000E-2,-3.994792700E-3,6.317853928E-2,-2.767086029E-2,6.908807931E-2
5.987688100E-2,4.478096962E-4,4.865789413E-2,-5.093574524E-3,4.892581830E-2
6.491490200E-2,1.432797313E-2,5.607986450E-2,-4.333686829E-2,7.230716541E-2
6.995292300E-2,2.036452293E-2,3.644156456E-2,-4.206562042E-2,5.926396750E-2
7.499094400E-2,2.799379826E-2,1.521086693E-2,-3.092575073E-2,4.440073504E-2
8.002891300E-2,3.931477666E-2,-2.102184296E-2,-4.279899597E-2,6.180067638E-2
8.506693300E-2,3.034320474E-2,-8.483624458E-2,-5.178928375E-2,1.039231850E-1
9.010495400E-2,4.429355264E-2,-8.715605736E-2,-4.065799713E-2,1.058828120E-1
9.514297500E-2,5.314794183E-2,-1.165909767E-1,-4.388332367E-2,1.354396754E-1
1.001809960E-1,5.750226974E-2,-1.536114216E-1,-5.601787567E-2,1.733233460E-1
1.052190170E-1,5.999469757E-2,-1.621627808E-1,-9.669113159E-2,1.981042809E-1
1.102570380E-1,9.872674942E-2,-1.326892376E-1,-7.243728638E-2,1.805562663E-1
1.152950060E-1,1.086971164E-1,-1.256370544E-1,-7.246971130E-2,1.812500803E-1
1.203330270E-1,1.254780293E-1,-9.888768196E-2,-4.794025421E-2,1.667986134E-1
1.253710480E-1,1.191382408E-1,-2.382683754E-2,-2.489185333E-2,1.240211392E-1
1.304090690E-1,1.111677885E-1,-7.146358490E-3,2.877235413E-2,1.150530139E-1
1.354470900E-1,9.242385626E-2,2.463340759E-2,2.980518341E-2,1.001864409E-1
1.404850580E-1,5.421829224E-2,1.838541031E-2,3.316307068E-2,6.616219300E-2
1.455230790E-1,1.767957211E-2,5.594515800E-2,6.164264679E-2,8.510137412E-2
1.505611000E-1,1.002234221E-2,5.991697311E-2,5.235767365E-2,8.019860971E-2
1.555991210E-1,-2.032238245E-2,4.083347321E-2,3.434753418E-2,5.709750316E-2
1.606371420E-1,7.882237434E-3,4.103779793E-2,2.167797089E-2,4.707616114E-2
1.656751630E-1,2.121299505E-2,3.676986694E-2,-2.041816711E-3,4.249921516E-2
1.707131310E-1,4.113018513E-2,3.742980957E-2,-1.571941376E-2,5.779085345E-2
1.757511520E-1,1.888477802E-2,3.589940071E-2,-2.204322815E-2,4.616606676E-2
1.807891730E-1,3.680187464E-2,3.455281258E-2,-3.746795654E-2,6.286590969E-2
1.858271940E-1,1.257818937E-2,-1.290678978E-2,-6.406784058E-2,6.655437075E-2
1.908652150E-1,1.474887133E-2,-7.810831070E-3,-9.920406342E-2,1.005981336E-1
1.959032350E-1,5.453169346E-3,-5.386614799E-2,-1.009054184E-1,1.145128919E-1
2.009412560E-1,-4.064285755E-2,-9.634709358E-2,-6.778430939E-2,1.246166799E-1
2.059792250E-1,-4.340189695E-2,-8.431935310E-2,-7.053470612E-2,1.181889281E-1
2.110172460E-1,-2.955746651E-2,-1.357347965E-1,-4.063796997E-2,1.447377747E-1
2.160552670E-1,-3.691816330E-2,-1.371605396E-1,-3.249549866E-2,1.457117766E-1
2.210932880E-1,-3.220760822E-2,-1.529052258E-1,-1.054000854E-2,1.566155480E-1
2.261313080E-1,-3.456246853E-2,-1.498694420E-1,2.721977234E-2,1.561932453E-1
2.311693290E-1,-6.711012125E-2,-1.307873726E-1,3.840351105E-2,1.519339819E-1
2.362072980E-1,-6.367695332E-2,-1.403417587E-1,7.302284241E-3,1.542850835E-1
2.412453190E-1,-3.924077749E-2,-1.075088978E-1,1.194953918E-2,1.150686456E-1
2.462833400E-1,3.145420551E-2,-6.822347641E-2,9.401321411E-3,7.571125823E-2
2.513213600E-1,7.957988977E-2,7.920503616E-3,4.470825195E-3,8.009794949E-2
2.563593810E-1,1.314288974E-1,4.770326614E-2,-4.739761353E-4,1.398191021E-1
2.613974020E-1,1.657004356E-1,1.198434830E-1,2.970886230E-2,2.066439239E-1
2.664353710E-1,1.522398591E-1,1.463639736E-1,3.808212280E-2,2.145917882E-1
2.714733920E-1,1.107308865E-1,1.843264103E-1,4.390811920E-2,2.194663475E-1
2.765114130E-1,4.618966579E-2,1.068465710E-1,8.713626862E-2,1.454042787E-1
2.815494330E-1,8.254349232E-3,6.136488914E-2,6.624507904E-2,9.067631663E-2
2.865874540E-1,-6.920248270E-2,-1.856708527E-2,6.932640076E-2,9.969889723E-2
2.916254750E-1,-1.218188405E-1,-7.384943962E-2,3.491592407E-2,1.466720539E-1
2.966634960E-1,-1.688688397E-1,-1.425745487E-1,-1.751613617E-2,2.217002526E-1
3.017014650E-1,-1.539829969E-1,-1.329514980E-1,-6.651878357E-2,2.140364753E-1
3.067394850E-1,-1.157327294E-1,-1.379730701E-1,-1.051721573E-1,2.085469142E-1
3.117775060E-1,-7.314664125E-2,-8.450555801E-2,-1.148757935E-1,1.602749774E-1
3.168155270E-1,9.038448334E-3,-1.821804047E-2,-8.674144745E-2,8.909359827E-2
3.218535480E-1,6.885212660E-2,6.086874008E-2,-8.966827393E-2,1.283978902E-1
3.268915690E-1,1.466421485E-1,1.526505947E-1,-4.077339172E-2,2.155657516E-1
3.319295900E-1,1.785692573E-1,2.053272724E-1,-1.626777649E-2,2.726002733E-1
3.369675580E-1,1.535937190E-1,2.314805984E-1,7.095336914E-4,2.778035302E-1
3.420055790E-1,1.196290851E-1,2.316799164E-1,2.439212799E-2,2.618810370E-1
3.470436000E-1,7.200026512E-2,1.921298504E-1,8.062553406E-2,2.204504351E-1
3.520816210E-1,3.195482492E-2,1.488280296E-1,1.170759201E-1,1.920355808E-1
3.571196420E-1,-3.363770247E-2,8.293867111E-2,9.871101379E-2,1.332448214E-1
3.621576630E-1,-6.777662039E-2,8.935928345E-3,6.406784058E-2,9.369209829E-2
3.671956310E-1,-9.927600622E-2,-6.145548820E-2,4.643440247E-2,1.256529195E-1
3.722336520E-1,-1.141207218E-1,-1.024575233E-1,3.614711761E-2,1.575680721E-1
3.772716730E-1,-1.220612526E-1,-1.382496357E-1,2.841949463E-2,1.866000505E-1
3.823096940E-1,-9.707230330E-2,-1.077854633E-1,4.384994507E-3,1.451205235E-1
3.873477150E-1,-5.125701427E-2,-1.111116409E-1,-3.102588654E-2,1.262366187E-1
3.923857350E-1,3.164851665E-2,-8.881497383E-2,-2.571010590E-2,9.772787590E-2
3.974237040E-1,1.016755700E-1,-8.609318733E-2,-3.453922272E-2,1.376332676E-1
4.024617250E-1,1.756711602E-1,-5.072140694E-2,-3.371620178E-2,1.859295563E-1
4.074997460E-1,2.206123471E-1,7.523775101E-3,-6.827831268E-2,2.310591761E-1
4.125377670E-1,2.464246154E-1,5.303931236E-2,-3.858470917E-2,2.550039990E-1
4.175757880E-1,2.603262067E-1,6.255698204E-2,-4.238224030E-2,2.710707734E-1
4.226138080E-1,2.436190844E-1,8.394742012E-2,-6.274509430E-2,2.652062866E-1
4.276517770E-1,2.037299871E-1,9.120106697E-2,-5.222892761E-2,2.292409282E-1
4.326897980E-1,1.289091706E-1,8.930635452E-2,-5.141830444E-2,1.650364846E-1
4.377278190E-1,9.033614397E-2,7.606577873E-2,-1.054382324E-2,1.185655676E-1
4.427658400E-1,4.248023033E-2,5.864000320E-2,3.447246552E-2,8.019707491E-2
4.478038600E-1,-1.232683659E-2,2.994060516E-2,3.866958618E-2,5.043538077E-2
4.528418810E-1,-2.666550875E-2,3.488922119E-2,8.064270020E-2,9.182348396E-2
4.578798500E-1,-4.824441671E-2,-3.170967102E-4,3.930854797E-2,6.223171409E-2
4.629178710E-1,-3.663593531E-2,-2.573227882E-2,2.925491333E-2,5.348076180E-2
4.679558920E-1,1.739972830E-2,-3.679013252E-2,4.291534424E-4,4.069949101E-2
4.729939130E-1,8.044695854E-2,-5.266952515E-2,-4.458808899E-2,1.059900453E-1
4.780319330E-1,1.265211105E-1,-4.499387741E-2,-4.406166077E-2,1.413275287E-1
4.830699540E-1,1.227303743E-1,-8.512735367E-2,-7.660484314E-2,1.678621849E-1
4.881079230E-1,1.027459502E-1,-6.120610237E-2,-5.900859833E-2,1.333601587E-1
4.931459440E-1,6.670600176E-2,-7.103347778E-2,-3.679752350E-2,1.041609494E-1
4.981839650E-1,3.604829311E-2,-7.864046097E-2,-2.424812317E-2,8.984304656E-2
5.032219850E-1,-1.773577929E-2,-9.101629257E-2,4.762649536E-3,9.285045079E-2
5.082600060E-1,-4.234027863E-2,-9.852647781E-2,7.397651672E-3,1.074936802E-1
5.132980270E-1,-6.895995140E-2,-1.011195183E-1,3.603076935E-2,1.275885897E-1
5.183359960E-1,-1.309359670E-1,-6.784629822E-2,5.717849731E-2,1.581667733E-1
5.233740170E-1,-1.496928334E-1,-1.082801819E-2,7.090091705E-2,1.659883442E-1
5.284120380E-1,-1.209143996E-1,1.034736633E-3,4.881763458E-2,1.304013963E-1
5.334500580E-1,-6.890684366E-2,-5.877971649E-3,6.480503082E-2,9.477550144E-2
5.384880790E-1,-3.177070618E-2,2.553415298E-2,5.447769165E-2,6.803814832E-2
5.435261000E-1,-2.127981186E-2,3.549528122E-2,5.843925476E-2,7.160930022E-2
5.485641210E-1,2.460426092E-2,1.696109772E-2,5.455970764E-3,3.037788848E-2
5.536020900E-1,6.762492657E-2,6.493330002E-2,-1.943588257E-3,9.377228631E-2
5.586401100E-1,6.747251749E-2,3.414416313E-2,-1.399612427E-2,7.690420006E-2
5.636781310E-1,7.440948486E-2,2.951145172E-2,-6.381416321E-2,1.023716008E-1
5.687161520E-1,6.935983896E-2,3.416061401E-2,-7.515048981E-2,1.078208279E-1
5.737541730E-1,5.248683691E-2,-3.024315834E-2,-1.052961349E-1,1.214775399E-1
5.787921420E-1,-6.966412067E-3,-3.744673729E-2,-7.815074921E-2,8.693864867E-2
5.838301630E-1,-9.095847607E-3,-6.863737106E-2,-3.692340851E-2,7.846758086E-2
5.888681830E-1,7.732152939E-3,-1.259520054E-1,-1.259040833E-2,1.268156624E-1
5.939062040E-1,1.721006632E-2,-1.331851482E-1,4.718971252E-2,1.423423305E-1
5.989442250E-1,3.135514259E-2,-1.548037529E-1,3.294181824E-2,1.613459335E-1
6.039822460E-1,4.309141636E-2,-2.095587254E-1,5.681324005E-2,2.213582476E-1
6.090202150E-1,5.019581318E-2,-1.854789257E-1,5.909442902E-2,2.010328408E-1
6.140582350E-1,5.734527111E-2,-1.852080822E-1,5.656337738E-2,2.019651690E-1
6.190962560E-1,7.409644127E-2,-1.205980778E-1,5.634880066E-2,1.523462054E-1
6.241342770E-1,5.985969305E-2,-5.145239830E-2,3.705215454E-2,8.719744434E-2
6.291722980E-1,8.378827572E-2,-3.001546860E-2,2.018833160E-2,9.126320308E-2
6.342103190E-1,9.568989277E-2,8.173823357E-2,1.288032532E-2,1.265053247E-1
6.392483400E-1,1.097723842E-1,1.453132629E-1,1.032066345E-2,1.824073376E-1
6.442863080E-1,1.425873041E-1,1.919565201E-1,1.722431183E-2,2.397396960E-1
6.493243290E-1,1.489066482E-1,1.955766678E-1,5.052566528E-3,2.458636843E-1
6.543623500E-1,9.334290028E-2,1.897065639E-1,1.909542084E-2,2.122878059E-1
6.594003710E-1,6.179046631E-2,1.197173595E-1,1.643085480E-2,1.357213354E-1
6.644383920E-1,1.383256912E-2,4.307246208E-2,1.953125000E-3,4.528125060E-2
6.694764130E-1,-4.077833891E-2,-5.924105644E-2,-1.472568512E-2,7.341131721E-2
6.745143810E-1,-6.633740664E-2,-1.300137043E-1,-5.021667480E-2,1.543565005E-1
6.795524020E-1,-3.938668966E-2,-1.434819698E-1,-5.210018158E-2,1.576477590E-1
6.845904230E-1,1.493752003E-3,-1.285481453E-1,-6.340122223E-2,1.433407546E-1
6.896284440E-1,4.927504063E-2,-6.410002708E-2,-7.692813873E-2,1.116009930E-1
6.946664650E-1,1.156883836E-1,-3.919601440E-4,-4.755210876E-2,1.250806091E-1
6.997044850E-1,1.127063632E-1,1.984095573E-2,-2.785682678E-2,1.177811132E-1
7.047424540E-1,1.454314590E-1,7.056427002E-2,-1.301860809E-2,1.621700022E-1
7.097804750E-1,1.472213864E-1,6.852293015E-2,6.463050842E-3,1.625155365E-1
7.148184960E-1,1.207322478E-1,4.748749733E-2,-2.713203430E-3,1.297640148E-1
