"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.171173400E-2,8.002136648E-2,-2.101759911E-1,-6.073951721E-3,2.249761303E-1
7.674965000E-2,9.491825849E-2,-2.339935303E-1,2.875518799E-2,2.541442678E-1
8.178751500E-2,9.655365348E-2,-2.322146893E-1,4.100799561E-5,2.514881142E-1
8.682538000E-2,1.165989116E-1,-2.544212341E-1,-3.050231934E-2,2.815241767E-1
9.186329600E-2,6.150621921E-2,-2.174615860E-1,2.458381653E-2,2.273255824E-1
9.690116100E-2,3.758133203E-2,-1.869461536E-1,9.324836731E-2,2.122651146E-1
1.019390780E-1,2.870912850E-2,-1.996092796E-1,1.397418976E-1,2.453484797E-1
1.069769420E-1,-3.948546946E-3,-1.386909485E-1,1.391563416E-1,1.965076528E-1
1.120148590E-1,-3.000118583E-2,-1.137037277E-1,1.033430099E-1,1.565515460E-1
1.170527230E-1,-5.906416848E-2,-7.510542870E-2,1.061630249E-1,1.428285310E-1
1.220906400E-1,-6.197434664E-2,-3.692340851E-2,9.118652344E-2,1.162718358E-1
1.271285050E-1,-1.148604378E-1,5.692481995E-3,9.322738647E-2,1.480427983E-1
1.321664210E-1,-9.485996515E-2,3.241014481E-2,7.499694824E-2,1.251933414E-1
1.372042860E-1,-9.197061509E-2,4.879045486E-2,3.046703339E-2,1.084773831E-1
1.422421500E-1,-8.258123696E-2,5.779242516E-2,3.370571136E-2,1.062812311E-1
1.472800670E-1,-5.540711060E-2,5.281019211E-2,2.514839172E-3,7.658452005E-2
1.523179320E-1,4.079416394E-4,8.260798454E-2,-2.738761902E-2,8.703061072E-2
1.573558480E-1,4.947390407E-2,1.183364391E-1,-3.777980804E-2,1.337104854E-1
1.623937130E-1,7.835157961E-2,1.114456654E-1,-8.700370789E-3,1.365093506E-1
1.674316300E-1,1.176715270E-1,1.420028210E-1,4.230594635E-2,1.892120042E-1
1.724694940E-1,1.280615479E-1,1.556718349E-1,3.147506714E-2,2.040199992E-1
1.775073590E-1,1.405400336E-1,1.854746342E-1,1.405906677E-2,2.331308609E-1
1.825452750E-1,1.203374714E-1,1.661016941E-1,2.263736725E-2,2.063572877E-1
1.875831400E-1,8.461394906E-2,1.569747925E-1,7.963180542E-4,1.783290217E-1
1.926210570E-1,1.057169437E-1,1.412842274E-1,-1.338672638E-2,1.769647127E-1
1.976589210E-1,8.912605792E-2,1.377048492E-1,-4.104995728E-2,1.690892625E-1
2.026968380E-1,4.054050893E-2,8.068919182E-2,-1.675224304E-2,9.184179978E-2
2.077347030E-1,3.050494939E-2,5.546593666E-2,1.618289948E-2,6.533688317E-2
