"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.202392400E-2,-1.373707950E-1,7.952880859E-2,8.700418472E-2,1.810118639E-1
7.706158000E-2,-2.127113044E-1,9.827804565E-2,1.252965927E-1,2.657139617E-1
8.209928800E-2,-2.746323049E-1,1.079444885E-1,1.567511559E-1,3.341344645E-1
8.713694500E-2,-3.184230626E-1,8.994960785E-2,1.884951591E-1,3.808078305E-1
9.217465300E-2,-3.522686958E-1,6.164169312E-2,1.787915230E-1,3.998241377E-1
9.721230900E-2,-3.460129797E-1,4.097366333E-2,1.525316238E-1,3.803547285E-1
1.022500180E-1,-3.288100958E-1,9.267807007E-3,9.488105774E-2,3.423512618E-1
1.072876740E-1,-2.674133480E-1,-1.101970673E-2,2.323484421E-2,2.686469627E-1
1.123253300E-1,-1.977737844E-1,-8.602142334E-4,-3.942298889E-2,2.016665114E-1
1.173630380E-1,-1.200169921E-1,4.003524780E-2,-7.801103592E-2,1.486358678E-1
1.224006950E-1,-4.787772894E-2,4.220676422E-2,-8.932924271E-2,1.097879842E-1
1.274384030E-1,5.791881680E-2,4.162406921E-2,-1.314368248E-1,1.495419386E-1
1.324760590E-1,1.303730607E-1,2.023983002E-2,-2.189512253E-1,2.556294676E-1
1.375137150E-1,1.511263549E-1,4.970359802E-2,-2.544550896E-1,3.000950107E-1
1.425514240E-1,1.455459595E-1,1.834869385E-2,-2.110080719E-1,2.569916483E-1
1.475890800E-1,1.172617078E-1,-1.380634308E-2,-8.530426025E-2,1.456631046E-1
1.526267880E-1,5.823257565E-2,-1.018543243E-1,-4.220962524E-3,1.174016728E-1
1.576644450E-1,1.115310192E-2,-2.025003433E-1,6.193304062E-2,2.120530175E-1
1.627021010E-1,-3.674000502E-3,-2.374057770E-1,1.187171936E-1,2.654595511E-1
1.677398090E-1,-1.522022486E-2,-3.199086189E-1,1.507372856E-1,3.539702092E-1
1.727774650E-1,1.636922359E-3,-3.331665993E-1,1.267457008E-1,3.564647739E-1
1.778151740E-1,5.039048195E-2,-3.836669922E-1,6.949663162E-2,3.931530788E-1
1.828528300E-1,1.021925807E-1,-3.545155525E-1,-1.315355301E-2,3.691850708E-1
1.878905380E-1,1.267437041E-1,-3.014712334E-1,-1.136455536E-1,3.462140709E-1
1.929281950E-1,1.297410727E-1,-2.551856041E-1,-1.969819069E-1,3.474972088E-1
1.979659030E-1,1.212014556E-1,-2.361316681E-1,-1.618347168E-1,3.108672274E-1
2.030035590E-1,9.921252728E-2,-1.875853539E-1,-6.520652771E-2,2.219983824E-1
2.080412150E-1,5.023962259E-2,-1.753253937E-1,3.538370132E-2,1.857821834E-1
2.130789240E-1,5.354046822E-3,-1.121764183E-1,1.283383369E-1,1.705372199E-1
2.181165800E-1,-2.877780795E-2,-1.298608780E-1,1.697430611E-1,2.156495227E-1
2.231542880E-1,-5.958095193E-2,-1.284017563E-1,2.356510162E-1,2.748968939E-1
2.281919450E-1,-6.162098050E-2,-9.423923492E-2,2.251338959E-1,2.517209759E-1
2.332296530E-1,-4.740044475E-2,-9.824562073E-2,1.238451004E-1,1.650351873E-1
2.382673090E-1,-2.431714535E-2,-1.045417786E-1,4.063606262E-3,1.074095895E-1
2.433049650E-1,-4.262924194E-3,-1.107935905E-1,-8.943939209E-2,1.424527890E-1
2.483426740E-1,-1.291802526E-2,-1.427078247E-1,-1.176600456E-1,1.854084274E-1
2.533803300E-1,5.808427930E-2,-1.856560707E-1,-7.747888565E-2,2.093918284E-1
2.584180380E-1,7.373198867E-2,-2.089657784E-1,-2.191591263E-2,2.226733255E-1
2.634556950E-1,7.745623589E-2,-2.318186760E-1,4.172420502E-2,2.479521654E-1
2.684934030E-1,2.746412158E-2,-2.846741676E-1,1.179857254E-1,3.093772634E-1
2.735310590E-1,-4.724919796E-3,-3.504862785E-1,1.315841675E-1,3.744026568E-1
2.785687680E-1,-1.236090064E-2,-3.656673431E-1,1.447119713E-1,3.934551465E-1
2.836064240E-1,-1.698970795E-2,-3.898262978E-1,8.221912384E-2,3.987645633E-1
2.886441320E-1,-4.927599430E-2,-3.594822884E-1,1.602792740E-2,3.631976510E-1
2.936817880E-1,-9.005922079E-2,-3.085489273E-1,-4.442977905E-2,3.244797514E-1
2.987194450E-1,-9.009274840E-2,-2.514905930E-1,-4.760646820E-2,2.713495854E-1
3.037571530E-1,-7.379943132E-2,-1.343545914E-1,-6.033658981E-2,1.647362023E-1
3.087948090E-1,-6.028190255E-2,-5.699396133E-2,-5.642127991E-2,1.003273653E-1
3.138325180E-1,-4.976639152E-2,-2.197265625E-3,-5.026721954E-2,7.076945006E-2
3.188701740E-1,-4.220968485E-2,6.099224091E-2,-2.537298203E-2,7.839323416E-2
3.239078820E-1,-5.401143432E-2,1.372137070E-1,3.436899185E-2,1.514135530E-1
3.289455380E-1,-7.997903228E-2,1.298513412E-1,7.420587540E-2,1.696010860E-1
3.339832470E-1,-5.148056149E-2,8.282566071E-2,4.483413696E-2,1.073333039E-1
3.390209030E-1,-4.937466979E-2,4.622936249E-2,6.980228424E-2,9.719758669E-2
3.440585590E-1,-3.539994359E-2,2.464199066E-2,7.986402512E-2,9.076698859E-2
3.490962680E-1,-4.030978680E-2,-4.587936401E-2,5.888938904E-2,8.483958448E-2
3.541339240E-1,-1.424592733E-2,-8.691835403E-2,5.932426453E-2,1.061937619E-1
3.591716320E-1,-2.346992493E-3,-8.491563797E-2,3.857851028E-2,9.329777812E-2
3.642092880E-1,3.082647920E-2,-6.184673309E-2,3.954410553E-2,7.961800359E-2
3.692469970E-1,3.530603647E-2,-5.812788010E-2,5.248498917E-2,8.590716352E-2
3.742846530E-1,1.159933209E-2,1.927375793E-3,-1.699829102E-2,2.066884564E-2
3.793223610E-1,-2.566426992E-2,4.674816132E-2,-7.807922363E-2,9.455374398E-2
3.843600180E-1,-2.211007476E-2,1.025934219E-1,-1.074023247E-1,1.501649925E-1
3.893977260E-1,-2.095377445E-2,1.764717102E-1,-7.484102249E-2,1.928276531E-1
3.944353820E-1,-3.413829207E-2,1.950206757E-1,-5.214357376E-2,2.047374885E-1
3.994730900E-1,-1.671308279E-2,2.393655777E-1,-2.748012543E-2,2.415167990E-1
4.045107470E-1,-3.997740149E-2,2.170953751E-1,2.978849411E-2,2.227463779E-1
4.095484030E-1,-7.025337219E-2,1.858015060E-1,6.253099442E-2,2.082495167E-1
4.145861110E-1,-9.558987617E-2,1.243324280E-1,8.053159714E-2,1.762989371E-1
4.196237680E-1,-1.491676569E-1,1.651573181E-2,9.343528748E-2,1.767877603E-1
4.246614760E-1,-1.832254231E-1,-5.441665649E-2,6.593847275E-2,2.021895407E-1
4.296991320E-1,-2.191051245E-1,-1.126375198E-1,3.171300888E-2,2.483948095E-1
4.347368400E-1,-2.188696563E-1,-1.819276810E-1,-2.123355865E-3,2.846157343E-1
4.397744970E-1,-1.924469173E-1,-1.723532677E-1,-1.662063599E-2,2.588777905E-1
4.448122050E-1,-1.283411682E-1,-1.321344376E-1,-4.518175125E-2,1.896637964E-1
4.498498610E-1,-6.003293395E-2,-5.214977264E-2,-5.218648911E-2,9.511562222E-2
4.548875700E-1,-2.076995373E-2,-2.987575531E-2,-5.440759659E-2,6.545332917E-2
4.599252260E-1,4.181012511E-2,8.199501038E-2,-5.890226364E-2,1.092737157E-1
