"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.292432500E-2,-1.290005147E-1,2.075939178E-1,-1.218490601E-1,2.730999102E-1
7.796208500E-2,-1.394814849E-1,1.762886047E-1,-2.576303482E-2,2.262664154E-1
8.299984600E-2,-1.034114957E-1,1.783742905E-1,7.109642029E-2,2.180963684E-1
8.803760600E-2,-5.864040926E-2,1.516332626E-1,1.467642784E-1,2.190230521E-1
9.307536600E-2,-4.007792845E-2,1.349697113E-1,1.712632179E-1,2.217073592E-1
9.811312700E-2,7.767103612E-3,1.625347137E-1,1.574840546E-1,2.264488651E-1
1.031508870E-1,7.655429840E-2,1.468906403E-1,1.722588539E-1,2.389781027E-1
1.081886480E-1,1.029143333E-1,1.085853577E-1,8.395719528E-2,1.715545119E-1
1.132264080E-1,9.654277563E-2,8.449268341E-2,-4.350757599E-2,1.354711417E-1
1.182641680E-1,7.965448499E-2,3.293132782E-2,-1.164479256E-1,1.448772884E-1
1.233018770E-1,8.870734274E-2,-2.252388000E-2,-1.923813820E-1,2.130420474E-1
1.283396370E-1,7.248285413E-2,-8.671569824E-2,-1.896810532E-1,2.207991811E-1
1.333773980E-1,1.026298851E-1,-1.392221451E-1,-2.120580673E-1,2.736500007E-1
1.384151580E-1,1.018961072E-1,-1.216306686E-1,-2.058172226E-1,2.598799056E-1
1.434529180E-1,7.830885053E-2,-9.411239624E-2,-1.630864143E-1,2.039279229E-1
1.484906790E-1,3.287315369E-2,-4.166603088E-3,-1.129074097E-1,1.176694012E-1
1.535284390E-1,-2.199320495E-2,2.439022064E-2,-6.230211258E-2,7.042824120E-2
1.585662000E-1,-8.839865029E-2,5.633735657E-2,-4.467010498E-3,1.049198423E-1
1.636039600E-1,-1.315185428E-1,1.170539856E-1,7.188129425E-2,1.901727717E-1
1.686416680E-1,-1.982968003E-1,1.826677322E-1,1.200513840E-1,2.951295583E-1
1.736794810E-1,-2.116955668E-1,2.140464783E-1,1.663732529E-1,3.439636131E-1
1.787171890E-1,-2.131882608E-1,2.657070160E-1,2.177810669E-1,4.043241843E-1
1.837549500E-1,-1.872276217E-1,2.560539246E-1,2.233500481E-1,3.879472111E-1
1.887927100E-1,-1.461097151E-1,2.077808380E-1,1.754298210E-1,3.087013890E-1
1.938304710E-1,-9.481029958E-2,1.126222610E-1,9.193372726E-2,1.735643304E-1
1.988682310E-1,-1.966116577E-2,8.786201477E-3,6.513595581E-3,2.249857114E-2
2.039059910E-1,4.851600528E-2,-5.502605438E-2,-9.230566025E-2,1.179067612E-1
2.089437520E-1,1.356753707E-1,-1.336994171E-1,-2.040920258E-1,2.791718025E-1
2.139815120E-1,1.996199787E-1,-1.571321487E-1,-2.820878029E-1,3.796210961E-1
2.190192730E-1,2.340317219E-1,-1.851911545E-1,-2.549338341E-1,3.925020641E-1
2.240570330E-1,2.208663970E-1,-1.057500839E-1,-2.024927139E-1,3.177551648E-1
2.290947930E-1,1.868308187E-1,-1.466274261E-2,-1.231446266E-1,2.242439517E-1
2.341325540E-1,7.412493229E-2,4.598045349E-2,-6.895303726E-2,1.111900582E-1
2.391702620E-1,-4.542745650E-2,1.332559586E-1,-2.787733078E-2,1.435198588E-1
2.442080230E-1,-1.483318210E-1,1.859750748E-1,3.532743454E-2,2.404934202E-1
2.492457830E-1,-2.466775477E-1,1.840858459E-1,9.193420410E-2,3.212309280E-1
2.542835430E-1,-2.914375663E-1,1.640424728E-1,1.466302872E-1,3.651660294E-1
2.593213040E-1,-3.093292117E-1,1.144800186E-1,1.901993752E-1,3.807440586E-1
2.643590640E-1,-2.587399483E-1,3.125476837E-2,1.972341537E-1,3.268402252E-1
2.693968250E-1,-1.949145347E-1,3.672409058E-2,1.710577011E-1,2.619180631E-1
2.744345850E-1,-9.941452742E-2,-4.219436646E-2,1.500191689E-1,1.848495709E-1
2.794723460E-1,-4.557745904E-2,-6.089210510E-2,6.146478653E-2,9.779096696E-2
2.845101060E-1,3.091773391E-2,-8.407783508E-2,-8.643627167E-3,8.999833839E-2
2.895478660E-1,9.671500325E-2,-5.769252777E-2,-5.837917328E-2,1.268477335E-1
2.945856270E-1,1.260381192E-1,-4.601860046E-2,-6.006956100E-2,1.470090856E-1
2.996233870E-1,1.076726392E-1,-3.218364716E-2,-3.598546982E-2,1.180005865E-1
3.046611480E-1,4.486776143E-2,-4.203319550E-2,-1.013517380E-2,6.231073172E-2
3.096988560E-1,-3.555687517E-2,1.422309875E-2,-3.765583038E-3,3.848074227E-2
3.147366160E-1,-1.074193120E-1,-9.050369263E-4,6.937026978E-3,1.076468765E-1
3.197743770E-1,-1.449785233E-1,9.126663208E-4,8.060884476E-2,1.658836671E-1
3.248121370E-1,-1.324018836E-1,-6.480216980E-3,1.267776489E-1,1.834252552E-1
3.298498980E-1,-1.221756786E-1,-3.238010406E-2,1.601076126E-1,2.039848406E-1
