"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.060648000E-2,-5.173119307E-1,-2.556297779E-1,2.911977768E-1,6.463392005E-1
7.564403200E-2,-3.550806940E-1,-2.482244968E-1,1.906251907E-1,4.733240575E-1
8.068153200E-2,-1.895966530E-1,-2.206172943E-1,9.159946442E-2,3.049743321E-1
8.571903200E-2,-4.096281528E-2,-1.758813858E-1,-1.494407654E-2,1.812057933E-1
9.075653200E-2,1.233648360E-1,-9.466147423E-2,-1.193046570E-1,1.959930576E-1
9.579403200E-2,2.470530272E-1,-5.817198753E-2,-1.633462906E-1,3.018297351E-1
1.008315320E-1,2.942052186E-1,-3.155231476E-2,-1.406545639E-1,3.276216805E-1
1.058690840E-1,3.104097247E-1,2.643442154E-2,-8.659744263E-2,3.233451606E-1
1.109065840E-1,2.482636571E-1,5.168414116E-2,-9.347915649E-3,2.537586992E-1
1.159440840E-1,1.366875172E-1,8.923912048E-2,1.147365570E-2,1.636421179E-1
1.209815840E-1,2.275842428E-2,1.298718452E-1,7.855129242E-2,1.534762119E-1
1.260190840E-1,-9.198150039E-2,1.398255825E-1,1.489715576E-1,2.240631940E-1
1.310565840E-1,-1.830826998E-1,1.276214123E-1,1.614685059E-1,2.754606655E-1
1.360940840E-1,-2.156113982E-1,9.646320343E-2,1.621589661E-1,2.865117012E-1
1.411315840E-1,-2.333862036E-1,5.368185043E-2,1.150426865E-1,2.656796583E-1
1.461690840E-1,-2.142232358E-1,-2.587580681E-2,4.267215729E-2,2.199592352E-1
1.512065840E-1,-1.732569337E-1,-4.967379570E-2,-2.421665192E-2,1.818568043E-1
1.562440840E-1,-1.571304202E-1,-7.348418236E-2,-9.967994690E-2,2.000649540E-1
1.612816360E-1,-1.395714879E-1,-1.206865311E-1,-1.121625900E-1,2.159302795E-1
1.663191360E-1,-1.275695860E-1,-9.126806259E-2,-1.217031479E-1,1.985334096E-1
1.713566360E-1,-1.807074249E-1,-5.924630165E-2,-1.538867950E-1,2.446353273E-1
1.763941360E-1,-2.852787971E-1,-5.412840843E-2,-2.035560608E-1,3.546109792E-1
1.814316360E-1,-3.772902489E-1,-1.687574387E-2,-2.610645294E-1,4.591159016E-1
1.864691360E-1,-4.226146340E-1,2.171134949E-2,-2.244167328E-1,4.789962229E-1
1.915066360E-1,-3.416960835E-1,3.392314911E-2,-1.080770493E-1,3.599828359E-1
1.965441360E-1,-2.218232751E-1,9.020566940E-2,-5.814647675E-2,2.464216730E-1
2.015816360E-1,-7.077872753E-2,1.031174660E-1,-4.460239410E-2,1.327863458E-1
2.066191890E-1,8.054095507E-2,1.343116760E-1,-3.379631042E-2,1.602144262E-1
2.116566890E-1,2.043919861E-1,9.241724014E-2,-7.446384430E-2,2.363512098E-1
2.166941890E-1,2.947158515E-1,1.187086105E-2,-1.466150284E-1,3.293847553E-1
2.217316890E-1,3.756896555E-1,-1.088202000E-1,-1.958827972E-1,4.374409943E-1
2.267691890E-1,4.080540836E-1,-1.964845657E-1,-2.135868073E-1,5.007331065E-1
2.318066890E-1,4.373678863E-1,-2.635641098E-1,-2.332639694E-1,5.613989556E-1
2.368441890E-1,4.265435338E-1,-3.714580536E-1,-2.198286057E-1,6.068320094E-1
2.418817410E-1,3.625909388E-1,-4.188504219E-1,-1.787147522E-1,5.821055123E-1
2.469192410E-1,2.700172961E-1,-4.446380138E-1,-1.011457443E-1,5.299460021E-1
2.519567410E-1,1.142952740E-1,-4.634590149E-1,-2.761268616E-2,4.781423727E-1
2.569942410E-1,-2.374073863E-2,-4.684371948E-1,5.141353607E-2,4.718478355E-1
2.620317410E-1,-1.305442750E-1,-4.459028244E-1,1.265506744E-1,4.815456466E-1
2.670692410E-1,-2.211172581E-1,-4.081015587E-1,2.377843857E-1,5.215181091E-1
2.721067410E-1,-2.442481220E-1,-3.482131958E-1,2.977008820E-1,5.191679785E-1
2.771442410E-1,-2.411695719E-1,-3.183298111E-1,3.050851822E-1,5.025670099E-1
2.821817410E-1,-2.405057847E-1,-2.427601814E-1,2.727251053E-1,4.372122153E-1
2.872192930E-1,-2.141214311E-1,-2.207367420E-1,1.895761490E-1,3.612641870E-1
2.922567930E-1,-1.766953170E-1,-1.664423943E-1,1.222257614E-1,2.717782964E-1
2.972942930E-1,-1.661005020E-1,-1.436662674E-1,2.562999725E-2,2.211023969E-1
3.023317930E-1,-1.606731266E-1,-9.996771812E-2,-3.633880615E-2,1.926912222E-1
3.073692930E-1,-1.132653952E-1,-3.558421135E-2,-4.323768616E-2,1.263518237E-1
3.124067930E-1,-8.559960127E-2,-3.404617310E-4,1.808929443E-2,8.749074365E-2
3.174443450E-1,-7.029184699E-2,8.629727364E-2,1.206016541E-1,1.641125289E-1
3.224818450E-1,-7.887488604E-2,1.505498886E-1,2.354240417E-1,2.903635584E-1
3.275193450E-1,-8.269724250E-2,2.256939411E-1,3.083086014E-1,3.909357782E-1
3.325568450E-1,-6.785544753E-2,2.599091530E-1,4.058828354E-1,4.867216922E-1
3.375943450E-1,-7.699650526E-2,3.623168468E-1,4.759492874E-1,6.031000610E-1
3.426318450E-1,-3.899878263E-2,4.000275135E-1,4.294481277E-1,5.881909648E-1
3.476693450E-1,-1.338043809E-2,4.964962006E-1,3.153572083E-1,5.883346684E-1
3.527068450E-1,5.890583992E-2,4.481823444E-1,2.100839615E-1,4.984702426E-1
3.577443450E-1,1.229314804E-1,4.198253155E-1,1.559095383E-1,4.644063183E-1
3.627818450E-1,1.764560640E-1,3.403387070E-1,5.065631866E-2,3.866952813E-1
3.678193970E-1,2.101235092E-1,2.505068779E-1,2.004432678E-2,3.275780213E-1
3.728568970E-1,2.101061046E-1,1.762735844E-1,-1.955986023E-2,2.749537050E-1
3.778943970E-1,1.535145640E-1,1.149284840E-1,-7.982063293E-2,2.077176238E-1
3.829318970E-1,1.002154648E-1,8.018755913E-2,-1.509513855E-1,1.981401141E-1
3.879693970E-1,5.713695288E-2,3.170013428E-2,-1.384668350E-1,1.531097459E-1
3.930068970E-1,2.653846145E-2,3.764629364E-4,-6.714725494E-2,7.220239267E-2
3.980444490E-1,-5.958497524E-3,-4.461479187E-2,-3.698539734E-2,5.825721383E-2
4.030819490E-1,-6.856730580E-2,-8.877038956E-2,2.123832703E-3,1.121880927E-1
4.081194490E-1,-1.230381429E-1,-1.508488655E-1,1.930427551E-2,1.956180459E-1
4.131569490E-1,-1.411543190E-1,-1.597323418E-1,6.685256958E-4,2.131652170E-1
4.181944490E-1,-1.398960054E-1,-2.056875229E-1,1.276016235E-2,2.490804511E-1
4.232319490E-1,-8.890926838E-2,-1.865656376E-1,1.499843597E-2,2.072113612E-1
