"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.429036700E-2,3.609432280E-2,-1.813011169E-1,1.320590973E-1,2.271838470E-1
7.932828300E-2,5.619068444E-2,-1.636011600E-1,8.880710602E-2,1.944464828E-1
8.436625200E-2,7.512059808E-2,-1.685724258E-1,3.074264526E-2,1.870959039E-1
8.940422100E-2,7.997572422E-2,-1.525130272E-1,-9.080886841E-3,1.724494199E-1
9.444219000E-2,8.519428968E-2,-1.651451588E-1,-5.699443817E-2,1.943691242E-1
9.948010600E-2,8.185964823E-2,-1.400163174E-1,-6.405353546E-2,1.743801208E-1
1.045180750E-1,5.910003185E-2,-1.910505295E-1,-1.286411285E-2,2.003961177E-1
1.095559920E-1,5.144271255E-2,-1.411063671E-1,3.734302521E-2,1.547638881E-1
1.145939600E-1,8.423089981E-3,-1.466765404E-1,8.930206299E-2,1.719296786E-1
1.196318770E-1,-7.300525904E-3,-1.277759075E-1,9.125423431E-2,1.571856084E-1
1.246698460E-1,-3.354242444E-2,-8.330392838E-2,1.047935486E-1,1.380084293E-1
1.297078150E-1,-6.313896179E-2,-6.417536736E-2,9.069347382E-2,1.277901110E-1
1.347457310E-1,-9.144820273E-2,1.090812683E-2,4.328346252E-2,1.017605972E-1
1.397837000E-1,-8.421829343E-2,2.329611778E-2,2.780056000E-2,9.169678941E-2
1.448216170E-1,-1.186151356E-1,7.423925400E-2,-5.302429199E-3,1.400326140E-1
1.498595850E-1,-1.081431061E-1,1.118173599E-1,-7.235527039E-3,1.557254193E-1
1.548975540E-1,-9.834372997E-2,1.298468113E-1,-4.543304443E-3,1.629488424E-1
1.599354710E-1,-1.075052321E-1,1.773519516E-1,2.565383911E-2,2.089717903E-1
1.649734400E-1,-8.425639570E-2,1.472609043E-1,5.016708374E-2,1.769227245E-1
1.700113560E-1,-7.357829809E-2,1.855440140E-1,9.230518341E-2,2.199104226E-1
