"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.446349300E-2,1.678663194E-1,1.228294373E-1,5.440521240E-2,2.150025558E-1
7.950114900E-2,2.173567116E-1,1.422491074E-1,-2.093362808E-2,2.606088360E-1
8.453885700E-2,2.357779145E-1,1.395359039E-1,-1.026692390E-1,2.925789912E-1
8.957651400E-2,1.949209422E-1,1.425027847E-1,-1.432123184E-1,2.807329434E-1
9.461422200E-2,1.337511241E-1,1.527576447E-1,-1.505494118E-1,2.527634993E-1
9.965187800E-2,6.585702300E-2,1.675987244E-1,-7.820034027E-2,1.963205876E-1
1.046895340E-1,-7.820561528E-2,1.554794312E-1,-3.118371964E-2,1.768117534E-1
1.097272430E-1,-1.959884465E-1,1.224431992E-1,-1.880455017E-2,2.318564627E-1
1.147648990E-1,-3.210150898E-1,1.032161713E-1,8.362293243E-3,3.373043045E-1
1.198026070E-1,-3.584648073E-1,6.296443939E-2,6.547021866E-2,3.697943864E-1
1.248402640E-1,-3.380353749E-1,5.470275879E-2,1.580433846E-1,3.771445583E-1
1.298779720E-1,-2.828949690E-1,5.392265320E-2,2.053632736E-1,3.537107436E-1
1.349156280E-1,-1.876320243E-1,1.687431335E-2,2.212505341E-1,2.905896038E-1
1.399533360E-1,-3.077542782E-2,-1.163387299E-2,2.004246712E-1,2.031071707E-1
1.449909930E-1,1.122329980E-1,-7.350635529E-2,8.739280701E-2,1.601153735E-1
1.500287010E-1,2.126320451E-1,-1.034402847E-1,1.186990738E-2,2.367555149E-1
1.550663570E-1,2.770262361E-1,-1.716804504E-1,-2.114677429E-2,3.265959256E-1
1.601040660E-1,3.459239602E-1,-1.779642105E-1,-4.795551300E-2,3.919622146E-1
1.651417220E-1,3.616227508E-1,-2.029371262E-1,-4.816675186E-2,4.174620067E-1
1.701793780E-1,2.799573839E-1,-1.513710022E-1,-7.805490494E-2,3.276917534E-1
1.752170860E-1,1.918709129E-1,-1.852798462E-1,-6.727123260E-2,2.750790566E-1
1.802547430E-1,7.663200796E-2,-1.398277283E-1,-3.804349899E-2,1.639254893E-1
1.852924510E-1,-4.877367616E-2,-8.223628998E-2,-4.943847656E-3,9.573985850E-2
1.903301070E-1,-1.632980406E-1,-4.048824310E-2,4.574584961E-2,1.743508837E-1
1.953677640E-1,-2.282195091E-1,3.494358063E-2,7.145643234E-2,2.416841325E-1
2.004054720E-1,-2.310882509E-1,1.084604263E-1,1.099781990E-1,2.779579969E-1
2.054431800E-1,-2.109307945E-1,1.547031403E-1,1.120948792E-1,2.845876378E-1
2.104808360E-1,-1.753865182E-1,1.628437042E-1,1.277151108E-1,2.712741276E-1
2.155184930E-1,-1.317362189E-1,1.454935074E-1,1.356520653E-1,2.385880862E-1
2.205562010E-1,-6.138303876E-2,6.355571747E-2,1.316256523E-1,1.585323911E-1
2.255938570E-1,-9.180545807E-3,3.038692474E-2,1.208457947E-1,1.249454029E-1
2.306315660E-1,3.466165066E-2,-3.241539001E-2,1.456513405E-1,1.531877949E-1
2.356692220E-1,7.028192282E-2,-6.346893311E-2,1.584582329E-1,1.845992029E-1
2.407069300E-1,9.558586776E-2,-7.057762146E-2,1.432056427E-1,1.860798615E-1
2.457445860E-1,6.880454719E-2,-7.300853729E-2,9.584903717E-2,1.387492348E-1
2.507822430E-1,1.697298884E-2,-8.484363556E-2,7.311868668E-2,1.132822457E-1
2.558199510E-1,-5.466598272E-2,-7.304573059E-2,2.518177032E-2,9.464760949E-2
2.608576070E-1,-8.716100454E-2,-2.905845642E-3,1.564741135E-2,8.860206619E-2
2.658953160E-1,-1.047253907E-1,2.842617035E-2,4.354143143E-2,1.169243810E-1
2.709329720E-1,-1.196329296E-1,9.212303162E-2,7.994937897E-2,1.708525504E-1
2.759706800E-1,-1.061165333E-1,1.125335693E-1,1.012735367E-1,1.848806428E-1
2.810083360E-1,-8.347022533E-2,1.233873367E-1,1.078352928E-1,1.839025931E-1
2.860460450E-1,-2.836588025E-2,7.317638397E-2,9.768056870E-2,1.253032315E-1
2.910837010E-1,1.381129026E-2,2.400112152E-2,8.768177032E-2,9.195052159E-2
2.961214090E-1,6.671014428E-2,-5.243301392E-2,1.917982101E-2,8.699040081E-2
3.011590660E-1,1.276630610E-1,-1.580600739E-1,-6.444835663E-2,2.131535474E-1
3.061967740E-1,1.402905285E-1,-2.124691010E-1,-9.486055374E-2,2.717040226E-1
3.112344300E-1,1.737987399E-1,-2.495403290E-1,-1.411890984E-1,3.352771082E-1
3.162721390E-1,1.760447025E-1,-2.719516754E-1,-8.322477341E-2,3.344784208E-1
3.213097950E-1,1.756967455E-1,-2.070274353E-1,1.970767975E-3,2.715392960E-1
3.263474510E-1,9.298796952E-2,-1.598625183E-1,3.547668457E-3,1.849739798E-1
3.313851590E-1,-2.229303122E-3,-6.431388855E-2,2.666330338E-2,6.965757532E-2
3.364228160E-1,-7.890278101E-2,1.298236847E-2,6.386709213E-2,1.023386349E-1
3.414605240E-1,-1.023446321E-1,1.572437286E-1,9.359645844E-2,2.096671432E-1
3.464981800E-1,-1.348114610E-1,2.310724258E-1,1.344304085E-1,2.993996171E-1
3.515358890E-1,-1.902479827E-1,3.064317703E-1,9.881401062E-2,3.739771831E-1
3.565735450E-1,-2.280676365E-1,3.456478119E-1,3.501033783E-2,4.155875124E-1
3.616112530E-1,-2.744797170E-1,3.021612167E-1,-1.891183853E-2,4.086541002E-1
