"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.213454200E-2,-9.615927935E-2,1.873559952E-1,1.980681419E-1,2.891018242E-1
7.717225100E-2,-6.191441417E-2,2.164669037E-1,8.567571640E-2,2.408975788E-1
8.220995900E-2,4.129469395E-2,2.324724197E-1,3.512573242E-2,2.387100642E-1
8.724771900E-2,6.344154477E-2,2.166781425E-1,1.352405548E-2,2.261794578E-1
9.228542800E-2,9.045901895E-2,1.863698959E-1,-8.260250092E-3,2.073277694E-1
9.732318800E-2,1.090797484E-1,1.153178215E-1,9.342670441E-3,1.590090468E-1
1.023608960E-1,8.003246784E-2,2.529144287E-2,2.827215195E-2,8.856730529E-2
1.073986050E-1,4.421320558E-2,-6.344175339E-2,1.742601395E-2,7.926745601E-2
1.124363650E-1,-1.824501157E-2,-1.360139847E-1,3.010797501E-2,1.404961730E-1
1.174740740E-1,-3.410458565E-2,-1.646380424E-1,-2.058506012E-2,1.693887614E-1
1.225118340E-1,-5.351996422E-2,-1.585927010E-1,-2.305173874E-2,1.689598000E-1
1.275495420E-1,-6.508976221E-2,-1.377096176E-1,-1.616430283E-2,1.531727803E-1
1.325872510E-1,-6.693807244E-2,-1.570491791E-1,-2.774000168E-2,1.729585438E-1
1.376250110E-1,-6.171834469E-2,-9.836959839E-2,6.782531738E-3,1.163259846E-1
1.426627190E-1,-6.105738878E-2,-7.689476013E-2,5.486011505E-3,9.834076054E-2
1.477004800E-1,-6.948563457E-2,-5.198144913E-2,6.584644318E-3,8.702690392E-2
1.527381880E-1,-4.319643974E-2,-7.166862488E-4,3.751802444E-2,5.721929923E-2
1.577759490E-1,-2.267071605E-2,3.238582611E-2,7.419776917E-2,8.407206461E-2
1.628136570E-1,-3.115266562E-3,8.036661148E-2,9.349536896E-2,1.233283469E-1
1.678514170E-1,3.997027874E-3,1.082549095E-1,9.146881104E-2,1.417802703E-1
1.728891260E-1,3.830373287E-3,1.167712212E-1,8.277750015E-2,1.431862577E-1
1.779268340E-1,-3.468483686E-3,9.733200073E-2,8.844709396E-2,1.315615338E-1
1.829645940E-1,5.484193563E-3,1.133770943E-1,7.320833206E-2,1.350699884E-1
1.880023030E-1,-2.084961534E-2,1.058316231E-1,8.639097214E-2,1.381971019E-1
1.930400630E-1,-4.427355528E-2,8.012819290E-2,8.297681808E-2,1.235549567E-1
1.980777710E-1,-8.811488748E-2,7.400894165E-2,6.799173355E-2,1.336578942E-1
2.031154800E-1,-1.401277930E-1,1.032848358E-1,1.275734901E-1,2.158206456E-1
2.081532400E-1,-1.512830406E-1,8.797883987E-2,1.154308319E-1,2.096452041E-1
2.131909490E-1,-1.390405297E-1,7.585191727E-2,8.473968506E-2,1.796290524E-1
2.182287090E-1,-1.317917258E-1,5.504035950E-2,4.769659042E-2,1.505771061E-1
2.232664170E-1,-1.037248373E-1,7.924747467E-2,9.181976318E-3,1.308560767E-1
2.283041780E-1,-4.374998808E-2,4.456996918E-2,1.131534576E-2,6.347110098E-2
2.333418860E-1,3.328505158E-2,4.560089111E-2,-2.724647522E-3,5.652220478E-2
2.383796460E-1,9.425795078E-2,2.772808075E-2,4.834175110E-3,9.837061043E-2
2.434173550E-1,1.699639559E-1,5.427360535E-2,1.967859268E-2,1.795010238E-1
2.484550630E-1,1.948351562E-1,2.841711044E-2,2.054357529E-2,1.979654231E-1
2.534928240E-1,2.193301618E-1,1.080546379E-1,1.712417603E-2,2.451015342E-1
2.585305320E-1,1.871910691E-1,1.577029228E-1,5.143690109E-2,2.501129005E-1
2.635682920E-1,1.813946664E-1,1.970286369E-1,1.013903618E-1,2.863639542E-1
2.686060010E-1,1.428545713E-1,2.170162201E-1,1.080074310E-1,2.813699939E-1
2.736437610E-1,9.324681759E-2,2.416534424E-1,8.144283295E-2,2.715221727E-1
2.786814690E-1,1.876345277E-2,2.052798271E-1,7.619905472E-2,2.197684475E-1
2.837192300E-1,-5.435255170E-2,1.770358086E-1,6.612062454E-2,1.966413344E-1
2.887569380E-1,-1.026508212E-1,6.976270676E-2,2.090930939E-2,1.258619306E-1
2.937946460E-1,-9.838357568E-2,-7.262229919E-3,-3.749465942E-2,1.055363323E-1
2.988324070E-1,-6.833341718E-2,-7.129955292E-2,-4.527235031E-2,1.086400840E-1
3.038701150E-1,1.513907313E-2,-8.740806580E-2,-1.508712769E-2,8.998323690E-2
