"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.682939100E-2,-4.836213589E-2,8.313560486E-2,-7.334613800E-2,1.209548715E-1
5.186730700E-2,-5.186712742E-2,6.525301933E-2,-6.798076630E-2,1.075617963E-1
5.690527600E-2,-5.099752545E-2,1.350140572E-1,-5.240535736E-2,1.535443412E-1
6.194319300E-2,-3.939244151E-2,1.207375526E-1,-4.466342926E-2,1.346259372E-1
6.698116100E-2,-3.001636267E-2,1.065700054E-1,3.079414368E-3,1.107593376E-1
7.201907800E-2,-3.274145722E-2,1.021552086E-1,3.703022003E-2,1.134853597E-1
7.705704700E-2,-2.696624398E-2,1.145386696E-1,7.020473480E-2,1.370218593E-1
8.209496300E-2,-1.997148991E-2,1.227326393E-1,8.798885345E-2,1.523292470E-1
8.713293200E-2,-2.854198217E-3,7.217192650E-2,1.203527451E-1,1.403628037E-1
9.217084900E-2,-1.799201965E-2,4.169082642E-2,1.112394333E-1,1.201501115E-1
9.720876600E-2,-2.756026387E-2,2.054715157E-2,6.558322906E-2,7.404669822E-2
1.022467340E-1,-5.909414589E-2,1.677680016E-2,6.795120239E-2,9.160210155E-2
1.072846510E-1,-5.088305473E-2,-2.692079544E-2,3.901576996E-2,6.954167665E-2
1.123226200E-1,-6.585951149E-2,-5.669355392E-2,-2.867126465E-2,9.150779053E-2
1.173605360E-1,-6.871978939E-2,-8.043313026E-2,-8.141136169E-2,1.334904780E-1
1.223985050E-1,-9.196525812E-2,-1.486184597E-1,-9.758758545E-2,2.001709072E-1
1.274364220E-1,-9.837839007E-2,-1.366767883E-1,-1.109027863E-1,2.016389846E-1
1.324743380E-1,-7.959780097E-2,-1.509537697E-1,-8.961105347E-2,1.927511126E-1
1.375123070E-1,-5.025307834E-2,-1.218159199E-1,-6.256484985E-2,1.458727207E-1
1.425502240E-1,-5.438512564E-2,-1.104247570E-1,-2.074623108E-2,1.248269801E-1
1.475881930E-1,-2.175197005E-2,-6.994581223E-2,2.159786224E-2,7.636774517E-2
1.526261090E-1,-4.256799817E-3,-5.893945694E-3,4.159259796E-2,4.222325361E-2
1.576640780E-1,-1.397177577E-3,1.902794838E-2,5.624294281E-2,5.939093820E-2
1.627019950E-1,-2.643305063E-2,7.562041283E-2,8.650875092E-2,1.179021501E-1
1.677399630E-1,-6.450232863E-2,9.848809242E-2,1.341619492E-1,1.784933706E-1
1.727778800E-1,-9.428481758E-2,1.050243378E-1,1.062507629E-1,1.766605869E-1
1.778157970E-1,-1.485655457E-1,1.305220127E-1,1.000967026E-1,2.216462655E-1
1.828537660E-1,-1.942831576E-1,1.348860264E-1,1.011085510E-1,2.572219363E-1
1.878916820E-1,-2.085969299E-1,1.070382595E-1,6.966590881E-2,2.445878309E-1
1.929296510E-1,-1.900801361E-1,1.358833313E-1,5.548477173E-2,2.401526551E-1
1.979675680E-1,-1.606155038E-1,1.313576698E-1,6.942749023E-3,2.076063083E-1
2.030055360E-1,-9.951323271E-2,1.244668961E-1,-2.153491974E-2,1.608062327E-1
2.080434530E-1,-1.229047775E-2,1.525306702E-1,-2.823066711E-2,1.556072998E-1
2.130814220E-1,4.215331376E-2,9.820508957E-2,-3.704166412E-2,1.131071455E-1
2.181193380E-1,8.581803739E-2,1.525039673E-1,-2.231311798E-2,1.764088173E-1
2.231573070E-1,1.190741658E-1,1.121571064E-1,-4.528713226E-2,1.697315464E-1
2.281952240E-1,1.422345638E-1,7.989883423E-2,-2.570056915E-2,1.651514884E-1
2.332331410E-1,1.321056783E-1,5.799508095E-2,7.365226746E-3,1.444630964E-1
2.382711090E-1,1.409919560E-1,6.494903564E-2,5.361080170E-2,1.642291903E-1
2.433090260E-1,1.473747343E-1,1.368665695E-2,5.195617676E-2,1.568632563E-1
2.483469950E-1,1.303552836E-1,-5.016136169E-2,5.965900421E-2,1.518810685E-1
2.533849110E-1,1.417953074E-1,-6.083750725E-2,6.949901581E-2,1.692253666E-1
2.584228800E-1,1.296722889E-1,-1.063385010E-1,4.400444031E-2,1.733758059E-1
2.634607970E-1,1.296403706E-1,-1.415340900E-1,1.438236237E-2,1.924717555E-1
2.684987660E-1,1.414460540E-1,-1.246428490E-1,-2.161216736E-2,1.897627776E-1
2.735366820E-1,1.438006163E-1,-1.366183758E-1,-7.088088989E-2,2.106354633E-1
2.785746510E-1,1.204484105E-1,-1.182925701E-1,-1.167573929E-1,2.052638315E-1
2.836125680E-1,1.563631892E-1,-8.678674698E-2,-1.428890228E-1,2.289075343E-1
2.886505360E-1,1.751393825E-1,-4.933643341E-2,-1.379404068E-1,2.283318698E-1
2.936884530E-1,1.536825448E-1,-1.776671410E-2,-1.236324310E-1,1.980377709E-1
2.987263700E-1,1.490721703E-1,1.754212379E-2,-1.471433640E-1,2.101937383E-1
3.037643380E-1,1.351868957E-1,4.729294777E-2,-1.020574570E-1,1.758631406E-1
3.088022550E-1,1.003292054E-1,6.930899620E-2,-4.836559296E-2,1.311827618E-1
