file,mean_period,std_period,A0,k,zeta,Mean (µ),Variance (σ²),Root Mean Square (RMS),Skewness (γ₁),Kurtosis (γ₂)
partB_trial01.csv,1.1805205843333333,0.015038621459041175,7.031579160490731,0.006889038695711774,0.0012943517641066066,0.590250173206593,19.617887167829817,4.468133547024498,-0.20462322469699606,1.5128714281891582
partB_trial02.csv,1.1819384895128204,0.017243683093004145,7.473388435279215,0.010552402086377423,0.0019850266342539983,0.9202915415271866,18.71499112142292,4.422664088958598,-0.31291840390223047,1.6291092868793877
partB_trial03.csv,1.184906111846154,0.013286037974585933,7.472618574153618,0.006202245424645502,0.0011696421721693856,0.47298625144295864,22.471936352064795,4.7637471468513555,-0.13893965204496994,1.478704534332474
partB_trial04.csv,1.1859385684102566,0.014328726185903844,7.591668206873279,0.006245222126788945,0.001178773094593444,0.45403254347406063,23.12791793694604,4.830282493788743,-0.12496442011016073,1.4710097295547429
partB_trial05.csv,1.182452315076923,0.01376976644418308,7.1704499183191635,0.007181973334322965,0.0013515980479339043,0.6874647577527848,20.058494973112822,4.530892996500958,-0.22885996013694493,1.5250572641262237
partB_trial06.csv,1.1834768303846155,0.01668260353769345,7.515907058927634,0.010482566078841578,0.0019744561827754687,0.8897306166461132,18.962232984122767,4.444306192173936,-0.2999856505726331,1.6071844120298682
partB_trial07.csv,1.1814106325641025,0.015670604419739442,7.377126746868005,0.010013867490900153,0.0018828808873930785,0.8778906089172853,18.781007187316046,4.421506774892042,-0.3050233536434727,1.616935115721797
partB_trial08.csv,1.1814048913076924,0.01650125765987848,7.142453816454824,0.007074550734622102,0.0013302025060659402,0.6134871531552438,20.023267958310303,4.51636211269426,-0.20683382759241564,1.5150839452966487
partB_trial09.csv,1.1855374245897436,0.01864672062331996,7.8182444973774015,0.01125522766550067,0.002123682967695021,1.0174710436073304,19.747118138614702,4.558539987669243,-0.33175798481041124,1.642972199183461
partB_trial10.csv,1.1833405755128206,0.016819656483975164,7.552321995058325,0.01073133595037588,0.002021080811515887,0.88146890630336,18.93052785635866,4.439090289912509,-0.3012565308022653,1.6098018250609072
